iter	Passed	Remaining
0	287	135509
1	541	127433
2	616	96582
3	880	103267
4	1128	105622
5	1382	107622
6	1622	107991
7	1874	108929
8	2108	108706
9	2350	108841
10	2584	108564
11	2818	108278
12	2917	103223
13	3175	104102
14	3421	104457
15	3653	104363
16	3905	104764
17	4157	105104
18	4446	106252
19	4874	110396
20	4934	106217
21	5196	106531
22	5453	106705
23	5478	102496
24	5588	100145
25	5828	100210
26	6074	100334
27	6259	99479
28	6580	100753
29	6838	100976
30	7095	101173
31	7353	101346
32	7372	98297
33	7632	98544
34	7902	98889
35	8152	98963
36	8394	98923
37	8637	98873
38	8900	99046
39	9175	99320
40	9467	99757
41	9724	99795
42	9985	99858
43	10242	99866
44	10538	100232
45	10795	100213
46	11055	100203
47	11313	100175
48	11553	99974
49	11821	100010
50	11847	98028
51	12116	98093
52	12394	98217
53	12435	96493
54	12698	96511
55	12955	96472
56	13201	96350
57	13441	96173
58	13711	96213
59	13968	96152
60	14223	96069
61	14486	96029
62	14508	94422
63	14530	92860
64	14797	92883
65	15071	92941
66	15337	92942
67	15385	91631
68	15530	90932
69	15583	89717
70	15877	89897
71	16153	89965
72	16445	90112
73	16710	90103
74	16987	90145
75	17248	90099
76	17508	90043
77	17781	90048
78	18036	89955
79	18295	89874
80	18552	89784
81	18805	89671
82	19058	89553
83	19274	89257
84	19547	89229
85	19802	89111
86	20058	88992
87	20317	88890
88	20568	88746
89	20824	88621
90	21098	88566
91	21358	88452
92	21600	88259
93	21640	87254
94	21882	87068
95	22135	86929
96	22383	86765
97	22408	85745
98	22650	85567
99	22892	85390
100	23147	85256
101	23398	85105
102	23439	84200
103	23685	84038
104	23925	83852
105	24159	83648
106	24421	83534
107	24669	83374
108	24697	82477
109	24965	82385
110	25223	82261
111	25472	82103
112	25712	81916
113	25964	81765
114	26229	81653
115	26509	81583
116	26760	81424
117	27010	81259
118	27036	80428
119	27283	80258
120	27521	80061
121	27590	79378
122	27832	79197
123	28073	79012
124	28319	78841
125	28570	78683
126	28839	78569
127	29103	78442
128	29353	78277
129	29549	77965
130	29848	77924
131	30105	77772
132	30376	77654
133	30418	76954
134	30696	76856
135	30742	76178
136	30999	76028
137	31264	75895
