iter	Logloss
0	0.3601815492
1	0.2672712563
2	0.2280158123
3	0.2132252333
4	0.2050490773
5	0.2013073427
6	0.2001915349
7	0.1982368416
8	0.1977243005
9	0.1971632513
10	0.1969135886
11	0.1959400351
12	0.1950011806
13	0.1949432031
14	0.1947256293
15	0.194324551
16	0.1941304118
17	0.1939411587
18	0.1937308715
19	0.1934380744
20	0.192737032
21	0.1925679771
22	0.1924675801
23	0.1921528886
24	0.1918074114
25	0.1913954766
26	0.1913361869
27	0.191258253
28	0.1910753516
29	0.1910390785
30	0.190988859
31	0.1908259074
32	0.1906144483
33	0.1902744845
34	0.1901774577
35	0.1899037601
36	0.1895170906
37	0.1891241128
38	0.1887096992
39	0.1883312035
40	0.1879490396
41	0.1876029667
42	0.1872610944
43	0.1866807353
44	0.1863409423
45	0.185785448
46	0.1852959028
47	0.1850150703
48	0.1845677255
49	0.1842103222
50	0.183762788
51	0.1832872204
52	0.182884905
53	0.1825422774
54	0.1822550114
55	0.1819116623
56	0.1816137111
57	0.1813550185
58	0.1809656204
59	0.1805461848
60	0.1802653456
61	0.1798795951
62	0.179581761
63	0.1791360158
64	0.1789314232
65	0.1785808192
66	0.1782236222
67	0.1777381159
68	0.177481925
69	0.1770289059
70	0.1767075458
71	0.1764959543
72	0.1762734312
73	0.1760618184
74	0.1758951774
75	0.1755951355
76	0.1751253043
77	0.174845746
78	0.1744835726
79	0.1740539165
80	0.1738643251
81	0.1735568229
82	0.1732099461
83	0.1728883499
84	0.1727377183
85	0.1724781717
86	0.1722439281
87	0.1718692716
88	0.1716975321
89	0.1713697969
90	0.1709933773
91	0.170732129
92	0.1706210096
93	0.1703293324
94	0.1699655517
95	0.1697149463
96	0.1694427069
97	0.1691909674
98	0.1690714291
99	0.1688879543
100	0.1685880038
101	0.1683617568
102	0.168147683
103	0.1679597008
104	0.1676296379
105	0.1673419561
106	0.167057176
107	0.1668368292
108	0.1665037853
109	0.1662817468
110	0.1660885189
111	0.1658443138
112	0.1656032901
113	0.1654462845
114	0.1652712563
115	0.1650182395
116	0.1647266793
117	0.1644133608
118	0.1639538643
119	0.1637199169
120	0.1634499744
121	0.163190216
122	0.1629175934
123	0.16271741
124	0.1624298435
125	0.1620895889
126	0.161848887
127	0.1616807776
128	0.1613381716
129	0.1610692744
130	0.1608069975
131	0.1606103007
132	0.1604216627
133	0.1600875078
134	0.15997792
135	0.1598762107
136	0.159462864
137	0.1591580118
138	0.158921479
139	0.1586124761
140	0.158355903
141	0.1580890183
142	0.1580256723
143	0.1578318157
144	0.1575888578
145	0.157301386
146	0.1569565853
147	0.1567012145
148	0.1566105065
149	0.1563855316
150	0.156108163
151	0.1559309091
152	0.1557458671
153	0.1555223923
154	0.1553334385
155	0.1551687507
156	0.1550231391
157	0.1549235246
158	0.1547318977
159	0.1545397739
160	0.1543477343
161	0.1541647462
162	0.153826744
163	0.1536429871
164	0.1534573028
165	0.1532537629
166	0.1529230096
167	0.1525537464
168	0.1523676655
169	0.1521085434
170	0.1518865446
171	0.1517016181
172	0.151369294
173	0.1510837246
174	0.1509620976
175	0.1507479843
176	0.1506252251
177	0.1504741168
178	0.1502503134
179	0.1500540621
180	0.1498515227
181	0.149694057
182	0.1495487612
183	0.1493306028
184	0.1491554476
185	0.1489076898
186	0.1487584467
187	0.148660355
188	0.1485205902
189	0.1482225467
190	0.1480095771
191	0.1477435245
192	0.1475872693
193	0.1474197425
194	0.1472874807
195	0.1470825267
196	0.1468069137
197	0.1466806329
198	0.1464480012
199	0.1462998079
200	0.1460576553
201	0.1458726045
202	0.1456217321
203	0.145362623
204	0.1449517357
205	0.1447372
206	0.1445356484
207	0.1443566413
