iter	Passed	Remaining
0	20	10578
1	38	10070
2	58	10123
3	83	10753
4	110	11433
5	124	10714
6	149	10962
7	165	10651
8	200	11425
9	215	11058
10	230	10697
11	245	10429
12	258	10126
13	272	9875
14	289	9770
15	305	9669
16	321	9559
17	337	9463
18	354	9391
19	371	9313
20	385	9186
21	400	9107
22	417	9061
23	433	9002
24	448	8914
25	463	8838
26	482	8854
27	502	8871
28	516	8787
29	525	8622
30	539	8547
31	557	8539
32	572	8490
33	588	8452
34	601	8373
35	617	8338
36	633	8307
37	648	8262
38	660	8175
39	682	8223
40	696	8173
41	714	8169
42	737	8216
43	757	8232
44	776	8230
45	792	8197
46	806	8152
47	821	8110
48	836	8078
49	854	8068
50	878	8111
51	892	8068
52	904	8007
53	922	7993
54	938	7968
55	951	7915
56	968	7902
57	991	7930
58	1009	7922
59	1028	7916
60	1047	7913
61	1059	7863
62	1073	7819
63	1086	7774
64	1097	7716
65	1110	7671
66	1130	7676
67	1151	7686
68	1171	7690
69	1205	7786
70	1222	7763
71	1235	7719
72	1278	7861
73	1299	7869
74	1318	7856
75	1332	7819
76	1351	7808
77	1368	7787
78	1384	7761
79	1398	7725
80	1412	7687
81	1423	7640
82	1436	7596
83	1451	7570
84	1467	7544
85	1483	7520
86	1506	7531
87	1524	7520
88	1540	7496
89	1558	7482
90	1578	7474
91	1590	7435
92	1604	7401
93	1617	7365
94	1636	7357
95	1667	7400
96	1693	7418
97	1739	7525
98	1767	7551
99	1790	7555
100	1822	7594
101	1842	7587
102	1858	7561
103	1881	7561
104	1897	7535
105	1912	7506
106	1929	7484
107	1942	7445
108	1962	7434
109	1983	7427
110	2006	7429
111	2021	7400
112	2034	7364
113	2048	7331
114	2068	7319
115	2087	7305
116	2109	7300
117	2122	7268
118	2139	7244
119	2155	7221
120	2177	7215
121	2193	7190
122	2205	7155
123	2217	7116
124	2231	7087
125	2245	7058
126	2261	7034
127	2280	7018
128	2303	7016
129	2317	6987
130	2330	6955
131	2360	6975
132	2382	6968
133	2397	6942
134	2418	6934
135	2433	6906
136	2444	6868
137	2460	6845
138	2471	6808
139	2489	6792
140	2507	6775
141	2525	6758
142	2543	6742
143	2561	6723
144	2577	6702
145	2594	6682
146	2606	6650
147	2619	6618
148	2639	6606
149	2656	6587
150	2674	6570
151	2692	6554
152	2712	6542
153	2729	6521
154	2741	6491
155	2761	6478
156	2780	6463
157	2809	6472
158	2825	6451
159	2840	6426
160	2871	6438
161	2904	6455
162	2917	6425
163	2929	6395
164	2943	6369
165	2961	6350
166	2981	6338
167	2999	6320
168	3013	6294
169	3025	6265
170	3042	6245
171	3063	6233
172	3077	6208
173	3090	6180
174	3110	6166
175	3129	6151
176	3146	6132
177	3159	6105
178	3201	6135
179	3226	6131
180	3240	6104
181	3261	6092
182	3280	6077
183	3312	6084
184	3342	6089
185	3370	6089
186	3386	6066
187	3402	6045
188	3442	6065
189	3472	6068
190	3490	6048
191	3501	6018
192	3513	5988
193	3526	5962
194	3542	5940
195	3575	5947
196	3593	5927
197	3652	5976
198	3670	5958
199	3684	5931
200	3699	5907
201	3711	5880
202	3740	5877
203	3753	5851
204	3767	5826
205	3780	5799
206	3792	5771
207	3809	5750
208	3842	5754
209	3860	5736
210	3878	5716
211	3903	5708
212	3917	5682
213	3939	5669
214	3995	5704
215	4040	5723
216	4053	5696
217	4067	5671
218	4079	5644
219	4094	5620
220	4106	5593
221	4128	5578
222	4144	5557
223	4157	5531
224	4174	5510
225	4195	5495
226	4216	5479
227	4230	5455
228	4242	5427
229	4255	5402
230	4268	5377
231	4289	5362
232	4305	5339
233	4320	5317
234	4337	5296
235	4351	5273
236	4367	5252
237	4384	5231
238	4399	5209
239	4421	5194
240	4445	5183
241	4463	5163
242	4540	5213
243	4557	5192
244	4569	5166
245	4582	5141
246	4605	5127
247	4630	5116
248	4642	5090
249	4655	5064
250	4669	5041
251	4688	5023
252	4704	5002
253	4721	4981
254	4734	4957
255	4746	4931
256	4758	4906
