iter	Logloss
0	0.4578706222
1	0.3474298667
2	0.2869434641
3	0.2492813487
4	0.2262987232
5	0.2146183249
6	0.2072924554
7	0.2015632511
8	0.1983092892
9	0.1957367483
10	0.1939493734
11	0.1928495261
12	0.1921533445
13	0.1914627508
14	0.1910411161
15	0.1902579557
16	0.1895843903
17	0.1892807264
18	0.1888424651
19	0.1885503249
20	0.1880976908
21	0.1874377779
22	0.1872013428
23	0.1869715194
24	0.1865777106
25	0.1862626964
26	0.1860640627
27	0.1857397992
28	0.185447975
29	0.1851920538
30	0.1849828339
31	0.1848682146
32	0.1847137995
33	0.1843910572
34	0.1842820826
35	0.1839739152
36	0.1836873915
37	0.1834166698
38	0.1831544699
39	0.1829449554
40	0.1826492581
41	0.1825070556
42	0.1820930368
43	0.181792226
44	0.1813950748
45	0.1811523335
46	0.1810049736
47	0.1807955348
48	0.1807046739
49	0.1804409013
50	0.1802274202
51	0.180025763
52	0.1798733588
53	0.1796609739
54	0.1794813218
55	0.1791676286
56	0.1788884802
57	0.1786121425
58	0.1781561949
59	0.177982946
60	0.177842484
61	0.177626904
62	0.1774033148
63	0.1769918372
64	0.1767762546
65	0.1765471057
66	0.1763822022
67	0.1761686628
68	0.1759095199
69	0.1756233847
70	0.1754454779
71	0.175115781
72	0.1749443839
73	0.174811848
74	0.1744661723
75	0.174160261
76	0.1737965426
77	0.173487726
78	0.1732353214
79	0.1728130043
80	0.1726297944
81	0.1723000134
82	0.172093931
83	0.1719063351
84	0.1716637894
85	0.1714322736
86	0.1711380973
87	0.1708734977
88	0.1706927944
89	0.1703489255
90	0.1701253311
91	0.1698743866
92	0.1696035718
93	0.1692944978
94	0.1690902278
95	0.168768042
96	0.1685654677
97	0.1683387555
98	0.1680610477
99	0.1677523962
100	0.1674748058
101	0.1672720408
102	0.1669707877
103	0.1667101028
104	0.1665010366
105	0.166360478
106	0.166124191
107	0.165936426
108	0.1656771183
109	0.1654945153
110	0.1651476018
111	0.1649148561
112	0.1646642212
113	0.1644173903
114	0.1642858936
115	0.1639695856
116	0.163793764
117	0.1636410937
118	0.163292008
119	0.1631548867
120	0.162892232
121	0.1627261453
122	0.1624201729
123	0.1622471205
124	0.1620230413
125	0.161892238
126	0.1617286756
127	0.1613913915
128	0.1611510415
129	0.1609567931
130	0.1607473138
131	0.1605768958
132	0.1604130481
133	0.1602993413
134	0.1601109054
135	0.1597659383
136	0.1594992973
137	0.1591792179
138	0.1589911005
139	0.1587345789
140	0.1585417053
