iter	Passed	Remaining
0	26	20214
1	48	18208
2	69	17497
3	96	18077
4	122	18398
5	140	17572
6	163	17484
7	183	17133
8	203	16850
9	223	16626
10	246	16641
11	266	16471
12	287	16428
13	312	16532
14	333	16452
15	354	16386
16	376	16338
17	396	16251
18	416	16125
19	436	16031
20	456	15957
21	478	15930
22	500	15942
23	523	15949
24	546	15957
25	566	15890
26	590	15927
27	612	15913
28	637	15951
29	657	15887
30	680	15883
31	701	15852
32	722	15812
33	746	15821
34	767	15796
35	786	15699
36	807	15672
37	828	15638
38	850	15623
39	873	15606
40	891	15526
41	915	15536
42	937	15524
43	957	15467
44	983	15510
45	1004	15487
46	1030	15519
47	1051	15489
48	1073	15464
49	1101	15526
50	1123	15509
51	1147	15518
52	1172	15533
53	1196	15533
54	1220	15529
55	1241	15493
56	1263	15477
57	1284	15441
58	1304	15388
59	1326	15359
60	1345	15308
61	1366	15273
62	1386	15233
63	1407	15193
64	1427	15150
65	1449	15129
66	1469	15085
67	1490	15057
68	1510	15021
69	1532	14994
70	1552	14957
71	1582	15014
72	1603	14976
73	1623	14944
74	1646	14930
75	1669	14913
76	1692	14898
77	1715	14890
78	1741	14898
79	1768	14922
80	1792	14913
81	1816	14906
82	1838	14887
83	1859	14850
84	1880	14822
85	1905	14823
86	1925	14787
87	1946	14754
88	1970	14745
89	1992	14724
90	2040	14891
91	2061	14859
92	2080	14809
93	2099	14764
94	2119	14726
95	2142	14708
96	2163	14678
97	2183	14636
98	2206	14618
99	2226	14586
100	2247	14555
101	2269	14529
102	2290	14500
103	2310	14462
104	2330	14425
105	2350	14388
106	2369	14350
107	2394	14343
108	2413	14305
109	2435	14282
110	2456	14253
111	2478	14228
112	2497	14189
113	2519	14167
114	2538	14128
115	2560	14106
116	2582	14079
117	2603	14052
118	2624	14026
119	2644	13994
120	2665	13965
121	2687	13942
122	2709	13923
123	2730	13896
124	2752	13874
125	2772	13842
126	2794	13817
127	2813	13780
128	2833	13749
129	2854	13725
130	2876	13703
131	2899	13686
132	2920	13658
133	2940	13628
134	2961	13602
135	2982	13573
136	3003	13549
137	3024	13523
138	3046	13500
139	3067	13477
140	3090	13458
141	3112	13437
142	3132	13407
143	3153	13381
144	3177	13366
145	3197	13337
146	3216	13303
147	3235	13271
148	3256	13246
149	3279	13227
150	3301	13204
151	3320	13173
152	3343	13156
153	3363	13128
154	3383	13096
155	3404	13071
156	3422	13035
157	3442	13007
158	3463	12982
159	3483	12954
160	3505	12932
161	3524	12901
162	3548	12888
163	3568	12858
164	3587	12828
165	3610	12809
166	3631	12786
167	3653	12763
168	3671	12732
169	3692	12705
170	3712	12680
171	3733	12654
172	3751	12621
173	3772	12598
174	3792	12570
175	3815	12552
176	3837	12530
177	3857	12505
178	3876	12474
179	3897	12449
180	3919	12429
181	3941	12408
182	3963	12387
183	3981	12355
184	4029	12414
185	4055	12405
186	4074	12377
187	4145	12502
188	4189	12546
189	4206	12509
190	4223	12472
191	4242	12439
192	4260	12406
193	4278	12372
194	4297	12341
195	4316	12310
196	4333	12273
197	4353	12247
198	4373	12218
199	4388	12178
200	4405	12141
201	4422	12107
202	4446	12090
203	4479	12098
204	4501	12077
205	4522	12051
206	4544	12031
207	4567	12012
208	4589	11990
209	4614	11976
210	4635	11951
211	4657	11928
212	4677	11902
213	4696	11873
214	4715	11843
215	4734	11814
216	4759	11800
217	4782	11779
218	4801	11752
219	4823	11730
220	4846	11709
221	4864	11680
222	4884	11652
223	4913	11647
224	4937	11631
225	4958	11607
226	4978	11579
227	5004	11566
228	5024	11540
229	5045	11517
230	5068	11497
231	5090	11476
232	5111	11450
233	5131	11425
234	5154	11405
235	5176	11383
236	5198	11363
237	5218	11335
238	5239	11311
239	5259	11286
240	5282	11267
241	5304	11243
242	5324	11217
243	5344	11193
244	5366	11170
245	5385	11142
246	5406	11118
247	5425	11092
248	5447	11069
249	5471	11052
250	5495	11034
251	5515	11008
252	5536	10985
253	5557	10961
254	5581	10943
255	5603	10922
256	5625	10899
257	5646	10876
258	5666	10850
