iter	F1	Logloss
0	0.02852348993	0.6813136161
1	0.02935010482	0.6699771398
2	0.03100125681	0.6590204868
3	0.02935010482	0.6502905507
4	0.02935010482	0.6420552955
5	0.02935010482	0.6317417412
6	0.05221715707	0.622026377
7	0.05463576159	0.6134903204
8	0.05624483044	0.6041975617
9	0.04898298049	0.5964728023
10	0.04573804574	0.5883588174
11	0.03593815295	0.5799527941
12	0.03347280335	0.5734098778
13	0.03100125681	0.5681398676
14	0.05624483044	0.5611988412
15	0.05624483044	0.5545533228
16	0.05704836709	0.5497202376
17	0.05704836709	0.5440678392
18	0.06025588114	0.5381592126
19	0.05945499587	0.5326543542
20	0.05865344899	0.5279136129
21	0.05704836709	0.5232012404
22	0.0658436214	0.5191615609
23	0.06504734459	0.5145424002
24	0.06345282241	0.5112731226
25	0.0658436214	0.5065494189
26	0.06663127695	0.5028152102
27	0.06345282241	0.5000095298
28	0.06503956232	0.4966562903
29	0.06344522466	0.493229394
30	0.06503178191	0.4901575193
31	0.06583574711	0.4860677775
32	0.0658278747	0.4831604965
33	0.06742615265	0.4801797161
34	0.06741809669	0.4773637097
35	0.06742615265	0.4746383066
36	0.06742615265	0.4722333041
37	0.07059070894	0.4693232377
38	0.07217311204	0.4671982967
39	0.07611778722	0.4647113283
40	0.0745418559	0.4626019939
41	0.07453298366	0.4605760566
42	0.07294595975	0.4587374531
43	0.08313826263	0.4565929657
44	0.08236650543	0.4552250135
45	0.08391914318	0.4533640858
46	0.09014335806	0.4518418311
47	0.08859109844	0.4504579092
48	0.08469938778	0.4493257883
49	0.08547899719	0.4474381504
50	0.08469938778	0.4457208366
51	0.08936754353	0.444183756
52	0.09169309853	0.4429326657
53	0.09014335806	0.4420101416
54	0.0909185428	0.4407331498
55	0.0909185428	0.4394632315
56	0.09014335806	0.4379020763
57	0.09014335806	0.4369698345
58	0.09324032599	0.4361511895
59	0.09786699125	0.4338302398
60	0.0986359201	0.432954275
61	0.0986359201	0.4322748258
62	0.09940422753	0.4312531611
63	0.09940422753	0.4302306587
64	0.1001719143	0.429429011
65	0.1017054288	0.4285569296
66	0.10781481	0.4279869973
67	0.10781481	0.4269518377
68	0.1085757187	0.4261888673
69	0.1093360158	0.4255015954
70	0.1108547776	0.4245490133
71	0.1108547776	0.4238173231
72	0.1093360158	0.4233835031
73	0.1085757187	0.4225943723
74	0.1093360158	0.4219357908
75	0.1108547776	0.4213718221
76	0.1184121329	0.4209046016
77	0.1191645441	0.4201636357
78	0.1199163539	0.4196429239
79	0.1191645441	0.4189668803
80	0.1184121329	0.4186421298
81	0.1191645441	0.4181628351
82	0.1191506963	0.4176050794
83	0.1206535515	0.4171526309
84	0.1221540071	0.4165235173
85	0.1229033368	0.416089935
86	0.1229033368	0.4157055146
87	0.1229033368	0.4152603104
88	0.1229033368	0.4146580751
89	0.1229033368	0.4142656906
90	0.1229033368	0.4137964988
91	0.1236377353	0.4134390727
92	0.1243857892	0.4130359279
93	0.1243857892	0.4127703046
94	0.1243857892	0.4123774713
95	0.1266263763	0.4114379248
96	0.1266263763	0.4111938402
97	0.1251332468	0.4109127672
98	0.1251332468	0.4107597043
99	0.1251332468	0.4105101619
100	0.1258801089	0.4102171837
101	0.1258801089	0.410084942
102	0.1258801089	0.4097655298
103	0.1258801089	0.4093846661
104	0.1258801089	0.4089779896
105	0.1281171294	0.4087813595
106	0.1281171294	0.4085194838
107	0.127342586	0.4083208853
108	0.1280726985	0.4079927615
109	0.1310310159	0.4077984568
110	0.133223954	0.4074229597
111	0.1376228288	0.4071344836
112	0.1376228288	0.4068791497
113	0.1376228288	0.4067088878
114	0.1390946854	0.4064839558
115	0.1398136907	0.4060713408
116	0.1398136907	0.4058501076
117	0.1419825883	0.4056430358
118	0.1448428432	0.4054045812
119	0.1448097124	0.4052357773
120	0.1448262759	0.4050766677
121	0.1448428432	0.4048854081
122	0.1477083607	0.4046384621
123	0.1476409327	0.4043408435
124	0.1475904022	0.4042217058
125	0.1475904022	0.4039809171
126	0.1475567343	0.4038297168
127	0.1475735663	0.4033611009
128	0.1475567343	0.4032441496
129	0.1482327168	0.4031517868
130	0.1482327168	0.4029627473
131	0.1482327168	0.4027537395
132	0.148215824	0.4026156767
133	0.148198935	0.4024646115
134	0.1481820499	0.4023419317
135	0.1488907503	0.4021788564
136	0.1481820499	0.4020254903
137	0.1481651685	0.4018646411
138	0.1488907503	0.4015442567
139	0.1488907503	0.4012957177
140	0.1488907503	0.4011748157
141	0.1488907503	0.4011373637
142	0.1494966397	0.4009641187
143	0.1494626391	0.4008497678
144	0.1494626391	0.4007829708
145	0.1495136458	0.4006868973
146	0.1495136458	0.4006564509
147	0.1494286539	0.4005611206
148	0.1494286539	0.4004551685
149	0.1494456446	0.4003223027
150	0.1494966397	0.400243232
151	0.1494456446	0.400136982
152	0.1494966397	0.400054424
153	0.1501010917	0.3998518617
154	0.1493946842	0.3998271146
155	0.1501010917	0.3997800388
156	0.1501010917	0.399528416
157	0.150032912	0.399428492
158	0.1500669941	0.3993563516
159	0.150032912	0.3992030625
160	0.1513571681	0.3991338577
161	0.1512714142	0.3989641115
162	0.1519919059	0.3988497817
163	0.1519919059	0.3987388073
164	0.1512714142	0.3985935052
165	0.1519919059	0.3985589295
166	0.1519574817	0.398465394
167	0.1519574817	0.3983773628
168	0.1519574817	0.3981619477
169	0.1519402755	0.3981048214
170	0.1519402755	0.3979272309
171	0.1519402755	0.3978653376
172	0.1519402755	0.3978483235
173	0.1519402755	0.3978246504
174	0.1526427044	0.3977474901
175	0.1526427044	0.397639015
176	0.1519402755	0.3975811924
177	0.1519574817	0.3975356925
178	0.1519574817	0.3974893698
179	0.1519574817	0.3974524601
180	0.1526427044	0.3973937263
181	0.1533791272	0.3973424537
182	0.1526427044	0.3972709659
183	0.1533270837	0.3969827635
184	0.1533270837	0.3969110392
185	0.1540454462	0.3968596956
186	0.1561795472	0.3968187494
187	0.1561795472	0.3967761197
188	0.1554629329	0.3966448833
189	0.1561795472	0.3965935678
190	0.1561795472	0.3965273801
191	0.1561795472	0.3964560875
192	0.1568601948	0.396408458
193	0.1568601948	0.3963939436
194	0.1568778979	0.3963631784
195	0.1568601948	0.3961862416
196	0.1568778979	0.3961356107
197	0.1568601948	0.3960086956
198	0.1568601948	0.3959960533
199	0.1568248006	0.3958990356
200	0.1568248006	0.3957498488
201	0.1568248006	0.3957435435
202	0.1568248006	0.3956865998
203	0.1568248006	0.395659155
204	0.1568248006	0.395576233
205	0.1575044813	0.3955175721
206	0.1567894223	0.3955077201
207	0.1596283557	0.3954410905
208	0.1603411268	0.3954021036
209	0.1603411268	0.3953622311
210	0.1603411268	0.3953353891
211	0.1603411268	0.3952871657
212	0.1603411268	0.3952398674
213	0.1603411268	0.3951663999
214	0.1603411268	0.3951115025
215	0.1624578658	0.3950595947
216	0.1624761315	0.3950355367
217	0.1624213467	0.3950137167
218	0.1624030932	0.3948817099
219	0.1623848439	0.3947973384
220	0.1630950476	0.3947284289
221	0.1630950476	0.3946832672
222	0.1638047024	0.3945921205
223	0.1637863119	0.3944387594
224	0.1644584326	0.3944199326
225	0.164439982	0.3943334507
226	0.1637311651	0.3943197347
227	0.1658373846	0.3942913635
228	0.1686247957	0.3942496861
229	0.1686247957	0.394241641
230	0.1700338262	0.3942144113
231	0.1700148173	0.3941992835
232	0.1721240888	0.3941601052
233	0.1728068099	0.3941378057
234	0.1728068099	0.3941095832
235	0.1727875251	0.3940642376
236	0.1727875251	0.394028188
237	0.1727875251	0.3940018735
238	0.1741702241	0.3939570978
239	0.1741702241	0.3939428042
240	0.1748704074	0.3939092598
241	0.1748704074	0.3938694112
242	0.1755700539	0.3938387195
243	0.1755700539	0.3937302746
244	0.1755700539	0.3936685693
245	0.1755700539	0.3936451996
246	0.1755700539	0.3936308095
247	0.1755700539	0.3936203481
248	0.1755700539	0.3936065359
249	0.1755700539	0.3935552061
250	0.176249535	0.3934636637
251	0.1769480395	0.3934514592
252	0.1776460091	0.3934115117
253	0.1769480395	0.3933959328
254	0.1783434445	0.3933790124
255	0.1783236093	0.3933729814
256	0.1783236093	0.393356898
257	0.1783236093	0.3933357769
258	0.1783236093	0.3933217216
259	0.1789408652	0.3932545575
260	0.1789408652	0.3932326821
261	0.1789408652	0.3932292648
262	0.1789408652	0.3931870464
263	0.1789209822	0.3931124265
264	0.1789011037	0.3930939594
265	0.1788812295	0.3930502028
266	0.1788812295	0.3930175393
267	0.1809670683	0.3929692269
268	0.1809670683	0.3928634981
269	0.1809469899	0.3928550825
270	0.1809469899	0.3928332806
271	0.180926916	0.3928251608
272	0.1809469899	0.3927988787
273	0.1809469899	0.3927696629
274	0.180926916	0.3927344122
275	0.1809068465	0.3927180115
276	0.1809068465	0.3927007419
277	0.1809068465	0.3926920962
278	0.1809068465	0.3926828601
279	0.1808867815	0.3926615495
280	0.1816008568	0.3925983809
281	0.1815807225	0.3925807836
282	0.1815605926	0.3925608001
283	0.1843307941	0.392510607
284	0.1843307941	0.3924748393
285	0.1843307941	0.392449682
286	0.1843307941	0.3924285738
287	0.1843307941	0.3923907435
288	0.1843307941	0.3923790616
289	0.1843307941	0.3923360731
290	0.1843103928	0.3922881258
291	0.1843103928	0.3922707331
292	0.184289996	0.3922658712
293	0.1850220262	0.3922215334
294	0.1850220262	0.3921942328
295	0.1856716595	0.3921464746
296	0.1856716595	0.3921083459
297	0.1877194819	0.3920771582
298	0.188407885	0.3920496473
299	0.1890957653	0.3920426744
300	0.1883662933	0.3920105576
301	0.1883662933	0.3920035103
302	0.1883662933	0.3919914124
303	0.1883662933	0.3919721892
304	0.1897203352	0.3919482346
305	0.1897203352	0.3918943094
306	0.1897203352	0.3918518485
307	0.1897203352	0.3918363139
308	0.1904069684	0.3916950064
309	0.1897203352	0.3916670617
310	0.1910930809	0.3916189961
311	0.1917575502	0.3916084356
312	0.1917364317	0.3915979046
313	0.1917153179	0.3915734023
314	0.1917153179	0.3915609453
315	0.1917153179	0.3915482656
316	0.1917153179	0.3915197928
317	0.1924001886	0.3915023602
318	0.1924001886	0.3914878949
319	0.1930845407	0.3914829691
320	0.192379012	0.3914643753
321	0.1930632968	0.3914082726
322	0.1930632968	0.3913961378
323	0.1930632968	0.391366946
324	0.1930632968	0.3913537398
325	0.1930632968	0.3913417523
326	0.1930632968	0.3913132673
327	0.1930420577	0.391302366
328	0.1937257575	0.3912960146
329	0.1937257575	0.3912830831
330	0.1937257575	0.391268821
331	0.1937257575	0.3912574795
332	0.1937257575	0.3912527236
333	0.1937257575	0.3912491549
334	0.1937257575	0.3912440308
335	0.1937257575	0.391212041
336	0.1937257575	0.3911967921
337	0.1937257575	0.3911737381
338	0.1937257575	0.3910625584
339	0.1937257575	0.3910570829
340	0.1937257575	0.3910564249
341	0.1944089401	0.3910404743
342	0.1943662074	0.3910162343
343	0.1936618666	0.3910039375
344	0.1943448481	0.3909544733
345	0.1943448481	0.3909333566
346	0.1943448481	0.3909226068
347	0.1943448481	0.390893872
348	0.1943448481	0.3908784673
349	0.1943448481	0.3908518031
350	0.1943448481	0.3907808356
351	0.1943448481	0.3907125296
352	0.1943662074	0.390667718
353	0.1943448481	0.3906486155
354	0.1943448481	0.390639543
355	0.1943448481	0.3906364325
356	0.1943448481	0.390627252
357	0.1943448481	0.3905933822
358	0.1943234935	0.3905873852
359	0.1943234935	0.3905711011
360	0.1943021436	0.3905416685
361	0.1943021436	0.3904853896
362	0.1943234935	0.3904745185
363	0.1943021436	0.3904688734
364	0.1943021436	0.3904686197
365	0.1942594579	0.3904537202
366	0.1942594579	0.3904522999
367	0.1949416557	0.3904174614
368	0.1956018688	0.3904031759
369	0.1956233382	0.3903713868
370	0.1956233382	0.3903646278
371	0.1956233382	0.390358267
372	0.1956018688	0.3903259367
373	0.1956018688	0.3903061452
374	0.1956018688	0.3902973897
375	0.1956018688	0.3902973416
376	0.1956018688	0.3902858353
377	0.1956018688	0.3902692252
378	0.1955804041	0.3902430936
379	0.1956018688	0.3902303866
380	0.1955804041	0.3902084365
381	0.1955589441	0.3901477178
382	0.1955589441	0.3901397881
383	0.1955589441	0.3901286264
384	0.1955589441	0.3901032123
385	0.1955374889	0.3900759108
386	0.1955374889	0.3900610689
387	0.1955374889	0.3900440918
388	0.1955374889	0.3899629894
389	0.1955160383	0.3899440881
390	0.1955160383	0.3899279195
391	0.1955160383	0.3898951483
392	0.1955374889	0.389877194
393	0.1955160383	0.3898665048
394	0.1955160383	0.3898453288
395	0.1955160383	0.3898290954
396	0.19613235	0.3897896817
397	0.19613235	0.3897631734
398	0.19613235	0.3897549694
399	0.1961108518	0.38973847
400	0.1961108518	0.3897195409
401	0.1960893582	0.3897100392
402	0.1960893582	0.389694345
403	0.1960893582	0.3896861168
404	0.1960893582	0.3896691403
405	0.1960893582	0.3896510942
406	0.1960893582	0.3896464005
407	0.1960893582	0.389641315
408	0.1960463852	0.3896124961
409	0.1960249058	0.3896058549
410	0.1960249058	0.3895845132
411	0.1960463852	0.3895739041
412	0.1960463852	0.3895579405
413	0.1960463852	0.3895467623
414	0.1960463852	0.3895421738
415	0.1960249058	0.3895180642
416	0.1960249058	0.3894878178
417	0.1960249058	0.389468894
418	0.1960463852	0.3894483652
419	0.1960463852	0.3894187285
420	0.1960463852	0.3894023999
421	0.1960463852	0.3893559856
422	0.1960463852	0.3893474098
423	0.1960463852	0.3893428464
424	0.1960249058	0.3893115347
425	0.1960249058	0.3892846673
426	0.1960249058	0.3892767442
427	0.1960034311	0.3892665221
428	0.1967046958	0.3892485021
429	0.1967046958	0.3891907838
430	0.1966831547	0.3891823385
431	0.1966831547	0.3891617682
432	0.1966831547	0.3891359897
433	0.1966831547	0.3891217422
434	0.1966831547	0.3890803631
435	0.1966831547	0.3890741743
436	0.1966831547	0.3890687855
437	0.1966831547	0.3890588428
438	0.1966616183	0.3890265532
439	0.1966831547	0.38900881
440	0.1966831547	0.3889817398
441	0.1966616183	0.3889665554
442	0.1966616183	0.3889408423
443	0.1966616183	0.3889253271
444	0.1966185598	0.388893683
445	0.1966185598	0.3888849959
446	0.1966185598	0.3888740115
447	0.1966185598	0.3888403148
448	0.1972975727	0.3888351517
449	0.1972328216	0.3888298142
450	0.1972328216	0.3888273037
451	0.1972544006	0.3888025253
452	0.1972544006	0.3887971422
453	0.1979111252	0.3887775704
454	0.1979111252	0.3887680358
455	0.1978894849	0.3887481722
456	0.1978894849	0.3887405136
457	0.1985672123	0.3887340789
458	0.198502122	0.3887178738
459	0.198502122	0.3887076651
460	0.198502122	0.3887076457
461	0.1984804348	0.3886970176
462	0.198502122	0.388691518
463	0.198502122	0.3886232061
464	0.198502122	0.388601617
465	0.198502122	0.3885918515
466	0.198502122	0.3885889351
467	0.198502122	0.3885640496
468	0.198502122	0.3885601168
469	0.1984804348	0.38849783
470	0.1984587522	0.3884933515
471	0.1991573894	0.3884758055
472	0.1991573894	0.3884613007
473	0.1991573894	0.3884516274
474	0.1991573894	0.3884447285
475	0.1991573894	0.3884236243
476	0.1991573894	0.3884128347
477	0.1991573894	0.3884096852
478	0.1991573894	0.3884080895
479	0.1991573894	0.3883884716
480	0.1991573894	0.3883855651
