iter	Passed	Remaining
0	10	5049
1	20	4986
2	31	5011
3	42	5054
4	53	5060
5	63	5058
6	74	5036
7	84	5017
8	96	5043
9	106	5002
10	116	4987
11	127	4977
12	137	4962
13	147	4916
14	158	4918
15	168	4907
16	179	4899
17	189	4886
18	201	4910
19	213	4931
20	225	4945
21	236	4937
22	248	4941
23	259	4939
24	268	4905
25	280	4906
26	291	4898
27	300	4868
28	311	4861
29	322	4847
30	333	4834
31	343	4824
32	353	4802
33	364	4795
34	375	4784
35	385	4765
36	396	4760
37	408	4764
38	420	4763
39	430	4751
40	441	4742
41	452	4733
42	463	4719
43	474	4708
44	484	4693
45	495	4682
46	506	4675
47	517	4663
48	526	4645
49	537	4632
50	548	4624
51	559	4615
52	570	4608
53	581	4601
54	592	4589
55	602	4574
56	613	4564
57	624	4553
58	635	4546
59	646	4534
60	656	4522
61	667	4512
62	678	4501
63	688	4487
64	699	4478
65	711	4470
66	719	4446
67	730	4435
68	741	4426
69	751	4413
70	762	4404
71	773	4392
72	783	4379
73	793	4366
74	803	4350
75	815	4343
76	825	4333
77	836	4322
78	847	4314
79	858	4303
80	869	4294
81	880	4285
82	892	4281
83	903	4272
84	915	4265
85	927	4258
86	938	4252
87	950	4244
88	961	4237
89	973	4227
90	984	4219
91	996	4212
92	1008	4207
93	1020	4200
94	1032	4194
95	1044	4188
96	1054	4173
97	1066	4167
98	1077	4157
99	1088	4147
100	1100	4140
101	1111	4128
102	1122	4119
103	1134	4113
104	1146	4104
105	1158	4097
106	1169	4088
107	1180	4078
108	1191	4067
109	1202	4054
110	1212	4043
111	1224	4033
112	1235	4023
113	1246	4013
114	1257	4001
115	1268	3990
116	1278	3977
117	1289	3967
118	1300	3955
119	1311	3945
120	1322	3935
121	1332	3921
122	1343	3910
123	1354	3899
124	1365	3889
125	1376	3876
126	1387	3866
127	1398	3856
128	1408	3842
129	1418	3830
130	1429	3819
131	1440	3807
132	1451	3797
133	1462	3788
134	1473	3776
135	1483	3764
136	1494	3752
137	1505	3741
138	1515	3728
139	1526	3718
140	1536	3706
141	1548	3697
142	1559	3686
143	1570	3676
144	1582	3667
145	1593	3656
146	1602	3640
147	1613	3629
148	1623	3617
149	1634	3606
150	1645	3596
151	1656	3584
152	1667	3575
153	1678	3564
154	1689	3554
155	1700	3542
156	1711	3531
157	1722	3520
158	1732	3508
159	1743	3498
160	1753	3485
161	1764	3474
162	1775	3463
163	1787	3454
164	1798	3444
165	1810	3435
166	1820	3422
167	1830	3409
168	1840	3398
169	1851	3387
170	1862	3376
171	1873	3366
172	1884	3355
173	1896	3345
174	1907	3335
175	1918	3325
176	1929	3314
177	1940	3303
178	1951	3291
179	1960	3277
180	1971	3267
181	1982	3257
182	1993	3246
183	2004	3235
184	2015	3225
185	2026	3214
186	2037	3203
187	2048	3192
188	2059	3182
189	2071	3172
190	2081	3160
191	2093	3150
192	2104	3140
193	2114	3128
194	2125	3117
195	2137	3107
196	2148	3097
197	2159	3086
198	2169	3075
199	2180	3064
200	2192	3053
201	2203	3043
202	2214	3033
203	2225	3021
204	2236	3011
205	2247	3000
206	2258	2989
207	2269	2978
208	2279	2967
209	2291	2957
210	2303	2947
211	2313	2935
212	2323	2923
213	2334	2913
214	2345	2902
215	2357	2891
216	2368	2881
217	2379	2871
218	2390	2859
219	2401	2849
220	2412	2838
221	2423	2827
222	2433	2816
223	2444	2804
224	2455	2793
225	2467	2783
226	2477	2772
227	2488	2761
228	2500	2751
229	2511	2741
230	2522	2730
231	2532	2717
232	2542	2706
233	2552	2694
234	2562	2682
235	2572	2670
236	2583	2660
237	2594	2649
238	2606	2638
239	2616	2627
240	2627	2616
241	2637	2604
242	2647	2592
243	2657	2581
244	2668	2570
245	2679	2559
246	2690	2548
247	2701	2537
248	2712	2527
249	2722	2515
250	2733	2505
251	2744	2494
252	2756	2483
253	2767	2473
254	2777	2461
255	2787	2450
256	2798	2439
257	2809	2428
258	2820	2417
259	2831	2406
260	2843	2396
261	2854	2386
262	2866	2375
263	2876	2364
264	2886	2353
265	2897	2342
266	2909	2331
267	2920	2321
268	2931	2310
269	2942	2299
270	2952	2288
271	2961	2275
272	2972	2264
273	2982	2253
274	2994	2242
275	3005	2232
276	3016	2221
277	3026	2209
278	3037	2199
279	3048	2188
280	3059	2177
281	3070	2166
282	3080	2155
283	3092	2144
284	3103	2134
285	3114	2123
286	3127	2114
287	3137	2102
288	3149	2092
289	3160	2081
290	3171	2070
291	3182	2060
292	3193	2048
293	3203	2037
294	3214	2026
295	3225	2015
296	3237	2005
297	3248	1995
298	3259	1984
299	3270	1973
300	3280	1961
301	3291	1951
302	3302	1939
303	3312	1928
304	3324	1918
305	3334	1907
306	3346	1896
307	3357	1885
308	3368	1875
309	3379	1864
310	3390	1853
311	3402	1842
312	3412	1831
313	3422	1820
314	3433	1809
315	3444	1798
316	3454	1787
317	3466	1776
318	3476	1765
319	3487	1754
320	3497	1743
321	3509	1732
322	3520	1721
323	3529	1710
324	3541	1699
325	3552	1688
326	3563	1678
327	3574	1667
328	3584	1656
329	3595	1644
330	3606	1634
331	3617	1623
332	3628	1612
333	3639	1601
334	3650	1591
335	3661	1580
336	3672	1569
337	3683	1558
338	3694	1547
339	3705	1536
340	3715	1525
341	3726	1514
342	3737	1503
343	3748	1492
344	3760	1482
345	3771	1471
346	3782	1460
347	3792	1449
348	3803	1438
349	3814	1427
350	3825	1416
351	3835	1405
352	3846	1394
353	3857	1384
354	3868	1373
355	3879	1362
356	3889	1350
357	3899	1339
358	3911	1329
359	3921	1318
360	3932	1307
361	3944	1296
362	3955	1285
363	3966	1274
364	3974	1263
365	3985	1252
366	3994	1240
367	4005	1229
368	4016	1219
369	4026	1208
370	4037	1197
371	4049	1186
372	4060	1175
373	4071	1164
374	4082	1153
375	4090	1142
376	4101	1131
377	4112	1120
378	4124	1110
379	4136	1099
380	4148	1088
381	4160	1078
382	4172	1067
383	4184	1056
384	4195	1046
385	4207	1035
386	4218	1024
387	4230	1014
388	4242	1003
389	4253	992
390	4264	981
391	4275	970
392	4285	959
393	4296	948
394	4307	937
395	4318	926
396	4329	916
397	4340	905
398	4351	894
399	4362	883
400	4371	872
401	4381	861
402	4392	850
403	4401	838
404	4410	827
405	4420	816
406	4430	805
407	4441	794
408	4451	783
409	4463	772
410	4474	762
411	4484	751
412	4494	740
413	4505	729
414	4516	718
415	4527	707
416	4538	696
417	4549	685
418	4559	674
419	4571	663
420	4582	653
421	4592	642
422	4603	631
423	4614	620
424	4624	609
425	4635	598
426	4646	587
427	4657	576
428	4667	565
429	4678	554
430	4689	543
431	4700	533
432	4712	522
433	4724	511
434	4736	500
435	4747	490
436	4759	479
437	4770	468
438	4782	457
439	4794	446
440	4805	435
441	4816	424
442	4827	414
443	4838	403
444	4849	392
445	4860	381
446	4871	370
447	4883	359
448	4894	348
449	4905	337
450	4915	326
451	4926	316
452	4937	305
453	4948	294
454	4958	283
455	4969	272
456	4980	261
457	4990	250
458	5001	239
459	5012	228
460	5020	217
461	5031	206
462	5042	196
463	5052	185
464	5063	174
465	5074	163
466	5084	152
467	5094	141
468	5105	130
469	5116	119
470	5127	108
471	5138	97
472	5148	87
473	5158	76
474	5169	65
475	5180	54
476	5191	43
477	5202	32
478	5213	21
479	5223	10
480	5232	0
