iter	Passed	Remaining
0	288	129595
1	579	129719
2	652	97178
3	917	102269
4	1192	106103
5	1468	108703
6	1751	110850
7	2032	112270
8	2291	112263
9	2554	112386
10	2815	112345
11	3083	112551
12	3194	107396
13	3467	107973
14	3746	108660
15	4018	109002
16	4275	108900
17	4526	108638
18	4740	107538
19	5015	107835
20	5064	103466
21	5335	103800
22	5616	104275
23	5652	100333
24	5724	97318
25	5772	94141
26	5801	90887
27	6065	91422
28	6103	88603
29	6370	89184
30	6469	87443
31	6752	88203
32	7031	88855
33	7288	89175
34	7565	89705
35	7666	88166
36	7934	88561
37	8218	89110
38	8325	87740
39	8349	85579
40	8641	86207
41	8914	86594
42	8941	84632
43	9229	85161
44	9507	85563
45	9767	85782
46	10017	85891
47	10279	86088
48	10322	84475
49	10590	84723
50	10858	84952
51	11057	84631
52	11314	84755
53	11588	84982
54	11839	85032
55	12095	85097
56	12382	85373
57	12415	83912
58	12687	84084
59	12720	82686
60	12993	82861
61	13254	82945
62	13531	83124
63	13892	83787
64	13934	82533
65	14223	82753
66	14528	83052
67	14820	83255
68	15110	83435
69	15385	83523
70	15411	82269
71	15696	82407
72	15798	81591
73	16061	81609
74	16128	80640
75	16395	80684
76	16734	81062
77	17070	81415
78	17145	80519
79	17165	79389
80	17446	79479
81	17745	79640
82	18036	79751
83	18067	78724
84	18165	78004
85	18443	78062
86	18726	78136
87	19013	78216
88	19289	78243
89	19566	78267
90	19850	78309
91	20117	78283
92	20321	78006
93	20600	78020
94	20623	77067
95	20888	77024
96	21161	77010
97	21440	77009
98	21727	77033
99	22019	77068
100	22311	77096
101	22586	77059
102	22878	77075
103	22954	76366
104	23162	76104
105	23420	76006
106	23447	75164
107	23517	74473
108	23622	73901
109	23904	73886
110	24182	73854
111	24490	73908
112	24700	73663
113	24977	73618
114	25245	73542
115	25524	73493
116	25834	73528
117	25873	72796
118	25959	72206
119	26238	72157
120	26502	72061
121	26785	72014
122	26803	71258
123	27053	71124
124	27322	71037
125	27576	70910
126	27650	70324
127	27907	70204
128	28103	69931
129	28371	69836
130	28636	69734
131	28895	69611
132	29158	69498
133	29432	69407
134	29705	69312
135	29962	69177
136	30238	69085
137	30276	68451
138	30539	68328
139	30793	68185
140	30845	67597
141	31106	67469
142	31371	67349
143	31652	67260
144	31925	67153
145	32188	67023
146	32462	66913
147	32726	66779
148	33004	66673
149	33290	66580
150	33562	66457
151	33816	66298
152	34091	66176
153	34443	66203
154	34723	66087
155	35011	65982
156	35044	65401
157	35334	65302
158	35597	65149
159	35875	65025
160	36131	64857
161	36407	64725
162	36691	64603
163	36713	64025
164	36988	63888
165	37245	63722
166	37521	63584
167	37776	63410
168	37816	62878
169	38075	62712
170	38338	62552
171	38619	62419
172	38921	62319
173	39219	62210
174	39419	61944
175	39679	61773
176	39989	61678
177	40278	61548
178	40551	61394
179	40826	61240
