iter	F1	Logloss
0	0.2052648258	0.6816093865
1	0.2295840207	0.6699008396
2	0.224453782	0.6585431773
3	0.2270221005	0.6482049233
4	0.2309651445	0.637156313
5	0.2359595918	0.6269028287
6	0.2311198036	0.6167031741
7	0.2393118178	0.6068622691
8	0.2409309178	0.5971540417
9	0.2416857161	0.5879517026
10	0.238448135	0.5794044313
11	0.244160201	0.5703155127
12	0.2393118178	0.561982683
13	0.2353034096	0.5537302355
14	0.2449656701	0.5464946989
15	0.2473776493	0.5387971404
16	0.244160201	0.5322774955
17	0.2434079605	0.5253441637
18	0.2434079605	0.5185939305
19	0.2442143231	0.5121530416
20	0.2409844224	0.505600133
21	0.2450199458	0.4995832568
22	0.2450199458	0.493776554
23	0.2450199458	0.4879229097
24	0.2466289753	0.4813459454
25	0.2466289753	0.4763606267
26	0.2466289753	0.4709541711
27	0.2466289753	0.4657672054
28	0.2466289753	0.4607549822
29	0.2466289753	0.4559032388
30	0.2458248295	0.4515045827
31	0.2450742456	0.4473667239
32	0.2442684693	0.4436053797
33	0.2426546947	0.4398149763
34	0.2442684693	0.4357248384
35	0.2466835816	0.4317906375
36	0.2466835816	0.4281007223
37	0.2474871432	0.4240543989
38	0.2474871432	0.420445407
39	0.2474871432	0.4168938485
40	0.2466835816	0.4131676513
41	0.2466835816	0.4096762215
42	0.2474871432	0.4066125244
43	0.2474871432	0.4032075372
44	0.2474871432	0.4002603656
45	0.2474871432	0.3973994146
46	0.2474871432	0.3949236255
47	0.2474871432	0.3922439094
48	0.2474323842	0.3896366591
49	0.2474871432	0.3870912639
50	0.2474323842	0.3845336796
51	0.2474871432	0.3821636521
52	0.2482350571	0.3795568945
53	0.2482350571	0.3772924187
54	0.2482350571	0.3751228131
55	0.2482899686	0.3732304346
56	0.2482350571	0.3713143856
57	0.2482350571	0.3691401113
58	0.2482350571	0.3670484466
59	0.2482899686	0.3653024399
60	0.2482899686	0.3633885312
61	0.2482350571	0.361723258
62	0.2482350571	0.360217714
63	0.2482899686	0.3584248685
64	0.2482899686	0.3566887147
65	0.2482899686	0.355149055
66	0.2482899686	0.3531717545
67	0.2474871432	0.3515423583
68	0.2474323842	0.3496591639
69	0.2482350571	0.3481230784
70	0.2474323842	0.3467040932
71	0.2474323842	0.3454798522
72	0.2474323842	0.3439999288
73	0.2474323842	0.3426415835
74	0.2474323842	0.3412242755
75	0.2474323842	0.3400180026
76	0.2474323842	0.3389500266
77	0.2474323842	0.337970187
78	0.2474871432	0.3368569346
79	0.2474871432	0.3355332317
80	0.2474323842	0.334598626
81	0.2474323842	0.3336563668
82	0.2474323842	0.3324831768
83	0.2474323842	0.3316999484
84	0.2474323842	0.3307915729
85	0.2474323842	0.3296814253
86	0.2474323842	0.3286177566
87	0.2474323842	0.3276640483
88	0.2474323842	0.3266513579
89	0.2474323842	0.3259072546
90	0.2474323842	0.3249533451
91	0.2474323842	0.3240515674
92	0.2474323842	0.3231281907
93	0.2474871432	0.3223284178
94	0.2474871432	0.3216469168
95	0.2474871432	0.3207999845
96	0.2474871432	0.3200640311
97	0.2474871432	0.3193151496
98	0.2474871432	0.3186629044
99	0.2474871432	0.3179805824
100	0.2474871432	0.3170847457
101	0.2474871432	0.3162304946
102	0.2474871432	0.3156701924
103	0.2482899686	0.3150817859
104	0.2482899686	0.3144175281
105	0.2474871432	0.3138832639
106	0.2482899686	0.3132333594
107	0.2482899686	0.3126421069
108	0.2482899686	0.3119329088
109	0.2482899686	0.3113992902
110	0.2482899686	0.3108496482
111	0.2482899686	0.3103207396
112	0.2482899686	0.3097029318
113	0.2482899686	0.3092886221
114	0.2482899686	0.3086717316
115	0.2490920588	0.3081280172
116	0.2498934148	0.3076201107
117	0.2498934148	0.3072263655
118	0.2498934148	0.3067381601
119	0.2498934148	0.3062480829
120	0.2498934148	0.3056940181
121	0.2498934148	0.3051971045
122	0.2498934148	0.3047618516
123	0.2498934148	0.3043896534
124	0.2498934148	0.3039601413
125	0.2498934148	0.3034740192
126	0.2498934148	0.3030698932
127	0.2506940375	0.3026932243
128	0.2506940375	0.3023718689
129	0.2506940375	0.3019473094
130	0.2506940375	0.3015782803
131	0.2506940375	0.3010459145
132	0.2506940375	0.3005791648
133	0.2506940375	0.3002057348
134	0.2514939281	0.2998493641
135	0.2514939281	0.2994529004
136	0.2514939281	0.299024347
137	0.2514939281	0.298614446
138	0.2522930875	0.2983018898
139	0.2522930875	0.2981366557
140	0.2530915168	0.297732021
141	0.2530915168	0.2974407666
142	0.2530915168	0.2970767745
143	0.2530915168	0.2967879947
144	0.2538892168	0.2965244646
145	0.2538892168	0.2961329514
146	0.2538332464	0.2958500672
147	0.2562215321	0.2954486199
148	0.2562215321	0.295061548
149	0.2562215321	0.294897486
150	0.2562215321	0.2946403982
151	0.2570161762	0.2943663966
152	0.2570161762	0.2939655365
153	0.2570161762	0.2937396192
154	0.2570161762	0.2934609987
155	0.2578100964	0.2932150917
156	0.2570161762	0.2929062893
157	0.2577534035	0.2925438534
158	0.2577534035	0.2921865089
159	0.2577534035	0.2919414994
160	0.2577534035	0.2916650102
161	0.2577534035	0.2914738057
162	0.2577534035	0.2911697655
163	0.2577534035	0.2908773772
164	0.2593387793	0.2906222045
165	0.2593387793	0.29039609
166	0.2593387793	0.2901818596
167	0.2593387793	0.2898745007
168	0.2593387793	0.2896489496
169	0.2593387793	0.2893894814
170	0.2601303858	0.2891711734
171	0.2601303858	0.2889834147
172	0.2601303858	0.288728881
173	0.2609212725	0.2883299715
174	0.2617114406	0.2881067412
175	0.2624433364	0.2879379147
176	0.2632319233	0.287603381
177	0.2632319233	0.2873853329
178	0.2640197947	0.287169607
179	0.2655352807	0.2868470288
180	0.2655352807	0.2866728925
181	0.2655352807	0.2864781139
182	0.2655352807	0.2863793145
183	0.2655352807	0.2862375338
184	0.266320866	0.2859871557
185	0.26710574	0.2857264516
186	0.26710574	0.2855347529
187	0.26710574	0.2853293783
188	0.26710574	0.285152169
189	0.2678899037	0.2849587996
190	0.26710574	0.284803113
191	0.2678899037	0.2844785933
192	0.2678899037	0.2842918968
193	0.2678899037	0.2840236709
194	0.2686733579	0.2839480259
195	0.2694561038	0.2837114152
196	0.2694561038	0.2835530356
197	0.2694561038	0.2833616154
198	0.2694561038	0.2831140698
199	0.2694561038	0.2829665389
200	0.2702381422	0.2827273648
201	0.2702381422	0.2825259275
202	0.2718001005	0.2822384181
203	0.2718001005	0.2820452921
204	0.2718001005	0.2817477637
205	0.2725800223	0.2816053743
206	0.2725800223	0.2815217695
207	0.2725800223	0.2813490025
208	0.274137756	0.2811412603
209	0.2733592405	0.280900997
210	0.274137756	0.2806951013
211	0.2749155697	0.2804377852
212	0.2756926827	0.2802260425
213	0.2756926827	0.2800985599
214	0.2756926827	0.2799091686
215	0.2756926827	0.2796021044
