iter	Passed	Remaining
0	163	220600
1	180	121528
2	206	92613
3	226	76321
4	252	67758
5	275	61724
6	293	56247
7	320	53694
8	339	50582
9	361	48391
10	379	46207
11	406	45235
12	424	43616
13	443	42255
14	461	41057
15	484	40326
16	501	39313
17	523	38709
18	544	38084
19	565	37603
20	584	36964
21	610	36795
22	633	36538
23	652	36021
24	678	35934
25	699	35613
26	721	35327
27	736	34750
28	754	34337
29	775	34080
30	792	33688
31	809	33329
32	821	32769
33	840	32520
34	867	32569
35	894	32640
36	912	32367
37	937	32338
38	956	32113
39	972	31828
40	994	31716
41	1013	31550
42	1033	31387
43	1057	31362
44	1074	31130
45	1096	31046
46	1109	30737
47	1128	30579
48	1151	30556
49	1173	30491
50	1190	30309
51	1215	30327
52	1233	30159
53	1253	30056
54	1272	29930
55	1291	29825
56	1312	29757
57	1336	29750
58	1360	29736
59	1380	29656
60	1399	29560
61	1421	29497
62	1438	29359
63	1457	29267
64	1477	29182
65	1493	29036
66	1517	29033
67	1541	29037
68	1561	28965
69	1583	28930
70	1601	28820
71	1617	28688
72	1634	28565
73	1654	28509
74	1673	28434
75	1693	28358
76	1713	28301
77	1727	28146
78	1749	28125
79	1775	28169
80	1791	28042
81	1805	27902
82	1824	27835
83	1840	27715
84	1857	27619
85	1875	27549
86	1892	27454
87	1917	27471
88	1938	27437
89	1954	27338
90	1977	27335
91	1995	27266
92	2018	27255
93	2040	27236
94	2057	27155
95	2081	27167
96	2104	27161
97	2128	27172
98	2151	27168
99	2177	27193
100	2199	27181
101	2220	27151
102	2241	27116
103	2262	27084
104	2287	27097
105	2305	27040
106	2331	27061
107	2355	27061
108	2375	27020
109	2394	26971
110	2418	26975
111	2437	26922
112	2461	26924
113	2480	26870
114	2507	26903
115	2534	26940
116	2549	26847
117	2567	26779
118	2590	26780
119	2612	26756
120	2634	26739
121	2652	26681
122	2673	26647
123	2695	26625
124	2712	26560
125	2730	26504
126	2751	26470
127	2771	26441
128	2791	26398
129	2812	26373
130	2833	26345
131	2851	26288
132	2872	26262
133	2894	26248
134	2918	26242
135	2942	26244
136	2961	26201
137	2986	26207
138	3009	26198
139	3021	26088
140	3047	26112
141	3068	26084
142	3094	26095
143	3115	26071
144	3133	26018
145	3154	25994
146	3180	26004
147	3203	25993
148	3225	25979
149	3242	25914
150	3260	25867
151	3283	25860
152	3316	25922
153	3339	25912
154	3358	25874
155	3383	25875
156	3409	25886
157	3437	25910
158	3462	25914
159	3479	25857
160	3501	25837
161	3523	25815
162	3542	25777
163	3568	25786
164	3594	25794
165	3619	25792
166	3639	25760
167	3667	25783
168	3690	25764
169	3715	25766
170	3739	25762
171	3759	25724
172	3782	25712
173	3813	25753
174	3839	25759
175	3860	25731
176	3893	25778
177	3917	25771
178	3938	25742
179	3964	25746
180	3987	25732
181	4012	25731
182	4031	25686
183	4048	25634
184	4079	25665
185	4103	25657
186	4127	25645
187	4151	25637
188	4170	25599
189	4193	25579
190	4211	25535
191	4240	25556
192	4261	25523
193	4291	25551
194	4308	25498
195	4334	25497
196	4359	25492
197	4382	25474
198	4404	25454
199	4425	25425
200	4448	25407
201	4469	25376
202	4497	25389
203	4521	25379
204	4550	25391
205	4571	25363
206	4586	25306
207	4609	25287
208	4635	25285
209	4660	25277
210	4687	25281
211	4718	25304
212	4740	25284
213	4764	25270
214	4788	25256
215	4819	25280
216	4842	25259
217	4870	25268
218	4891	25236
219	4908	25189
220	4933	25180
221	4953	25146
222	4984	25168
223	5003	25131
224	5033	25145
225	5059	25141
226	5077	25097
227	5099	25074
228	5130	25090
229	5154	25078
230	5180	25073
231	5207	25074
232	5231	25058
233	5255	25040
234	5280	25033
235	5309	25039
236	5336	25037
237	5365	25048
238	5397	25067
239	5420	25049
240	5447	25046
241	5471	25030
242	5492	24998
243	5514	24974
244	5536	24947
245	5563	24945
246	5579	24893
247	5602	24872
248	5621	24833
249	5648	24829
250	5674	24824
251	5699	24812
252	5727	24811
253	5757	24819
254	5784	24816
255	5805	24788
256	5828	24765
257	5853	24752
258	5877	24737
259	5901	24719
260	5922	24689
261	5942	24654
262	5959	24610
263	5979	24572
264	6007	24575
265	6026	24535
266	6046	24502
267	6072	24492
268	6095	24472
269	6115	24439
270	6133	24397
271	6156	24375
272	6172	24328
273	6199	24323
274	6221	24299
275	6246	24283
276	6265	24247
277	6294	24250
278	6315	24222
279	6345	24225
280	6370	24211
281	6388	24170
282	6410	24146
283	6438	24144
284	6462	24125
285	6486	24108
286	6508	24085
287	6525	24040
288	6545	24009
289	6567	23981
290	6585	23944
291	6607	23919
292	6628	23889
293	6651	23867
294	6675	23850
