iter	Passed	Remaining
0	159	331959
1	175	182713
2	189	131648
3	206	107237
4	220	91805
5	234	81260
6	251	74644
7	268	69592
8	283	65241
9	298	61919
10	313	58959
11	326	56351
12	336	53646
13	349	51640
14	361	49848
15	377	48710
16	389	47390
17	405	46484
18	418	45487
19	434	44839
20	452	44461
21	467	43772
22	481	43156
23	497	42668
24	512	42188
25	535	42370
26	554	42212
27	577	42417
28	597	42340
29	613	41982
30	632	41854
31	646	41423
32	661	41078
33	676	40765
34	692	40493
35	707	40249
36	724	40065
37	738	39755
38	753	39516
39	767	39213
40	782	38995
41	800	38903
42	817	38799
43	832	38572
44	850	38529
45	862	38176
46	880	38139
47	894	37904
48	908	37695
49	922	37524
50	936	37310
51	950	37138
52	964	36936
53	979	36816
54	993	36618
55	1009	36541
56	1026	36488
57	1039	36308
58	1054	36161
59	1068	36011
60	1081	35849
61	1095	35703
62	1111	35644
63	1127	35554
64	1138	35356
65	1152	35210
66	1164	35030
67	1176	34863
68	1193	34832
69	1206	34702
70	1223	34663
71	1241	34683
72	1257	34629
73	1278	34699
74	1298	34755
75	1319	34843
76	1341	34945
77	1352	34775
78	1365	34628
79	1377	34487
80	1390	34369
81	1405	34301
82	1421	34242
83	1435	34159
84	1449	34068
85	1462	33954
86	1478	33912
87	1490	33785
88	1501	33647
89	1517	33601
90	1536	33628
91	1549	33537
92	1563	33448
93	1577	33378
94	1590	33277
95	1604	33216
96	1617	33123
97	1633	33085
98	1650	33081
99	1667	33072
100	1680	32980
101	1696	32948
102	1708	32851
103	1724	32811
104	1735	32693
105	1749	32627
106	1760	32515
107	1775	32473
108	1792	32454
109	1808	32433
110	1825	32424
111	1836	32322
112	1851	32270
113	1866	32232
114	1882	32219
115	1893	32111
116	1907	32057
117	1919	31968
118	1931	31885
119	1944	31816
120	1959	31768
121	1973	31728
122	1987	31677
123	2001	31622
124	2015	31563
125	2027	31495
126	2041	31449
127	2053	31362
128	2068	31328
129	2082	31278
130	2094	31205
131	2106	31138
132	2120	31093
133	2132	31016
134	2146	30966
135	2158	30898
136	2175	30906
137	2188	30849
138	2203	30811
139	2218	30790
140	2233	30764
141	2247	30718
142	2260	30662
143	2273	30610
144	2287	30569
145	2300	30521
146	2313	30473
147	2327	30428
148	2337	30336
149	2352	30318
150	2368	30299
151	2380	30244
152	2396	30228
153	2410	30199
154	2425	30168
155	2437	30108
156	2452	30080
157	2463	30012
158	2476	29971
159	2489	29922
160	2503	29887
161	2516	29845
162	2529	29790
163	2539	29715
164	2549	29633
165	2561	29585
166	2574	29542
167	2589	29515
168	2599	29442
169	2612	29402
170	2628	29386
171	2641	29350
172	2658	29347
173	2669	29289
174	2680	29225
175	2695	29205
176	2710	29185
177	2722	29134
178	2734	29087
179	2744	29020
180	2758	28990
181	2774	28980
182	2789	28958
183	2804	28944
184	2818	28912
185	2831	28875
186	2846	28860
187	2860	28830
188	2873	28795
189	2885	28753
190	2899	28717
191	2909	28654
192	2923	28630
193	2936	28593
194	2952	28582
195	2964	28543
196	2977	28507
197	2991	28476
198	3002	28427
199	3016	28401
200	3030	28372
201	3043	28341
202	3058	28323
203	3070	28285
204	3086	28274
205	3101	28262
206	3113	28214
207	3128	28201
208	3140	28162
209	3153	28122
210	3168	28112
211	3181	28082
212	3194	28041
213	3208	28022
214	3222	27998
215	3235	27962
216	3247	27924
217	3260	27894
218	3273	27863
219	3287	27840
220	3299	27803
221	3310	27750
222	3322	27710
223	3334	27674
224	3347	27645
225	3361	27622
226	3378	27624
227	3392	27598
228	3407	27583
229	3421	27563
230	3435	27543
231	3448	27516
232	3460	27476
233	3473	27447
234	3489	27444
235	3501	27404
236	3515	27381
237	3529	27364
238	3545	27354
239	3559	27337
240	3576	27334
241	3591	27323
242	3603	27287
243	3617	27268
244	3632	27250
245	3645	27224
246	3663	27228
247	3674	27185
248	3687	27163
249	3701	27136
250	3715	27120
251	3728	27087
252	3742	27071
253	3757	27059
254	3772	27040
255	3785	27015
256	3800	27005
257	3814	26984
258	3828	26962
259	3840	26928
260	3853	26899
261	3869	26892
262	3882	26868
263	3894	26832
264	3909	26819
265	3921	26790
266	3936	26770
267	3949	26745
268	3960	26706
269	3973	26679
270	3986	26657
271	4000	26632
272	4015	26620
273	4028	26596
274	4042	26574
275	4056	26555
276	4068	26529
277	4083	26510
278	4098	26503
279	4114	26494
280	4129	26481
281	4143	26462
282	4156	26435
283	4171	26425
284	4185	26404
285	4196	26367
286	4208	26336
287	4221	26308
288	4233	26279
289	4247	26262
290	4262	26248
291	4276	26228
292	4290	26209
293	4302	26178
294	4318	26175
295	4332	26156
296	4345	26131
297	4358	26105
298	4371	26084
299	4388	26084
300	4402	26062
301	4412	26021
302	4427	26012
303	4442	25999
304	4454	25969
305	4468	25949
306	4480	25920
307	4495	25906
308	4509	25888
309	4523	25870
310	4536	25849
311	4552	25838
312	4564	25812
313	4579	25797
314	4591	25768
315	4606	25758
316	4619	25734
317	4632	25709
318	4646	25695
319	4660	25675
320	4672	25648
321	4682	25607
322	4697	25596
323	4709	25569
324	4723	25550
325	4733	25513
326	4746	25489
327	4758	25461
328	4772	25443
329	4786	25424
330	4799	25405
331	4814	25392
332	4826	25365
333	4842	25359
334	4858	25350
335	4874	25344
336	4887	25320
337	4899	25292
338	4914	25283
339	4925	25250
340	4938	25228
341	4950	25202
342	4964	25184
