iter	Passed	Remaining
0	14	11485
1	29	11441
2	45	11856
3	61	11852
4	75	11758
5	100	12927
6	121	13396
7	136	13139
8	150	12933
9	166	12784
10	180	12608
11	195	12505
12	210	12428
13	226	12378
14	243	12396
15	260	12427
16	279	12539
17	299	12684
18	317	12707
19	338	12856
20	356	12874
21	371	12813
22	386	12707
23	403	12697
24	419	12667
25	437	12695
26	454	12679
27	471	12655
28	487	12619
29	502	12574
30	519	12546
31	536	12530
32	552	12507
33	569	12486
34	585	12456
35	600	12409
36	616	12372
37	631	12332
38	647	12308
39	664	12284
40	680	12257
41	696	12238
42	712	12210
43	727	12174
44	743	12149
45	759	12116
46	774	12076
47	788	12031
48	804	11997
49	820	11972
50	836	11954
51	852	11937
52	869	11922
53	885	11899
54	900	11876
55	916	11854
56	933	11844
57	948	11808
58	964	11785
59	979	11758
60	995	11734
61	1009	11692
62	1023	11653
63	1037	11608
64	1052	11575
65	1067	11546
66	1082	11522
67	1098	11498
68	1114	11482
69	1133	11499
70	1163	11617
71	1186	11666
72	1206	11683
73	1221	11655
74	1236	11626
75	1253	11611
