model_suffix,CURE SPEED Collect Result_Dam,DISCHARGED SPEED OF RESIN Collect Result_Dam,Head Clean Position Z Collect Result_Dam,Head Purge Position Z Collect Result_Dam,Head Zero Position Y Collect Result_Dam,Stage1_Circle_Distance_Speed_Dam,Stage2_Circle_Distance_Speed_Dam,Stage3_Circle_Distance_Speed_Dam,WorkMode Collect Result,Chamber Temp. Collect Result_AutoClave,DISCHARGED SPEED OF RESIN Collect Result_Fill1,Head Purge Position Z Collect Result_Fill1,CURE SPEED Collect Result_Fill2,Head Purge Position Z Collect Result_Fill2,target,Receip_No,cleaned_workorder,Equipment_same_num,PalletID_Collect_Result,Production_Qty_Collect_Result,CURE_DISTANCE_Dam,cure_end_position_XZ_Fill2,cure_start_position_XZ_Fill2,cure_standby_position_XZ_Fill2,HEAD NORMAL DISTANCE_STAGE1_STAGE3_Dam,HEAD NORMAL DISTANCE_TRIANGLE_area_Dam,HEAD NORMAL DISTANCE_TRIANGLE_height_Dam,HEAD NORMAL DISTANCE_STAGE1_STAGE3_Fill1,HEAD NORMAL DISTANCE_TRIANGLE_area_Fill1,HEAD NORMAL DISTANCE_TRIANGLE_height_Fill1,HEAD NORMAL DISTANCE_STAGE1_STAGE2_Fill2,HEAD NORMAL DISTANCE_STAGE2_STAGE3_Fill2,HEAD NORMAL DISTANCE_STAGE1_STAGE3_Fill2,volume_time_multip_stage1_Dam,volume_time_multip_stage2_Dam,volume_time_multip_stage3_Dam,volume_time_multip_avg_Dam,volume_time_multip_stage1_Fill1,volume_time_multip_stage2_Fill1,volume_time_multip_stage3_Fill1,volume_time_multip_avg_Fill1,stage1_line13_distance_speed_Dam,stage1_line24_distance_speed_Dam,stage2_line13_distance_speed_Dam,stage2_line24_distance_speed_Dam,stage3_line13_distance_speed_Dam,stage3_line24_distance_speed_Dam,average_thickness_Dam,1st_pressure_time_AutoClave,2nd_pressure_time_AutoClave,3rd_pressure_time_AutoClave,avg_pressure_time_AutoClave,time_ratio_Dam,time_ratio_Fill1,time_ratio_Fill2,time_ratio_AutoClave
AJX75334503,70,10,130.85,130.85,303.5,4000,4000,4000,0.0,50,10.6,145.0,50,85.0,AbNormal,3,3HPXX066,1,11.0,52,720.3061848963953,"240,33","1020,33","1020,33",388.9,116.67000000049923,0.6000000000025675,680.7014396929097,197.16000000152104,0.5792848038942519,194.8,194.2,389.0,31.737000000000002,7.843999999999999,31.737000000000002,23.77266666666667,173.07,12.312,173.07,119.484,4000,4000,4000,4000,4000,4000,0.0,74.228,37.268,60.137,57.21099999999999,0.112,0.111,0.032,0.746
AJX75334503,70,10,130.85,130.85,303.5,4000,4000,4000,0.0,50,10.6,145.0,50,85.0,AbNormal,3,3HPXX066,1,10.0,51,720.3061848963953,"240,33","1020,33","1020,33",388.9,116.67000000049923,0.6000000000025675,680.7014396929097,197.16000000152104,0.5792848038942519,194.8,194.2,389.0,31.737000000000002,7.665,31.737000000000002,23.713000000000005,170.58200000000002,12.312,173.07,118.65466666666669,4000,4000,4000,4000,4000,4000,0.0,74.228,37.268,60.137,57.21099999999999,0.112,0.111,0.032,0.746
AJX75334503,70,10,130.85,130.85,303.5,4000,4000,4000,0.0,50,10.6,145.0,50,85.0,AbNormal,3,3HPXX066,1,11.0,20,720.3061848963953,"240,33","1020,33","1020,33",388.9,116.67000000049923,0.6000000000025675,680.7014396929097,197.16000000152104,0.5792848038942519,194.8,194.2,389.0,31.737000000000002,7.665,31.737000000000002,23.713000000000005,173.07,12.312,173.07,119.484,4000,4000,4000,4000,4000,4000,0.0,72.3,36.179,60.5,56.32633333333333,0.113,0.111,0.031,0.745
AJX75334503,70,10,130.85,130.85,303.5,4000,4000,4000,0.0,51,10.6,145.0,50,85.0,AbNormal,3,3HPXX066,1,10.0,40,720.3061848963953,"240,33","1020,33","1020,33",388.9,116.67000000049923,0.6000000000025675,680.7014396929097,197.16000000152104,0.5792848038942519,194.8,194.2,389.0,31.737000000000002,7.665,31.737000000000002,23.713000000000005,173.07,12.312,173.07,119.484,4000,4000,4000,4000,4000,4000,0.0,73.505,36.905,60.379,56.92966666666666,0.111,0.111,0.031,0.747
AJX75334503,70,10,130.85,130.85,303.5,4000,4000,4000,0.0,50,10.6,145.0,50,85.0,AbNormal,3,3HPXX066,1,9.0,65,720.3061848963953,"240,33","1020,33","1020,33",388.9,116.67000000049923,0.6000000000025675,680.7014396929097,197.16000000152104,0.5792848038942519,194.8,194.2,389.0,31.737000000000002,7.665,31.737000000000002,23.713000000000005,173.07,12.312,173.07,119.484,4000,4000,4000,4000,4000,4000,0.0,73.746,37.268,60.621,57.211666666666666,0.112,0.111,0.031,0.746
AJX75334503,70,10,130.85,130.85,303.5,4000,4000,4000,0.0,50,10.6,145.0,50,85.0,AbNormal,3,3HPXX066,1,12.0,55,720.3061848963953,"240,33","1020,33","1020,33",388.9,116.67000000049923,0.6000000000025675,680.7014396929097,197.16000000152104,0.5792848038942519,194.8,194.2,389.0,31.737000000000002,7.665,31.737000000000002,23.713000000000005,170.58200000000002,12.312,173.07,118.65466666666669,4000,4000,4000,4000,4000,4000,0.0,74.951,37.752,60.137,57.61333333333334,0.111,0.111,0.031,0.746
AJX75334503,70,10,130.85,130.85,303.5,4000,4000,4000,0.0,50,10.6,145.0,50,85.0,AbNormal,3,3HPXX066,1,12.0,68,720.3061848963953,"240,33","1020,33","1020,33",388.9,116.67000000049923,0.6000000000025675,680.7014396929097,197.16000000152104,0.5792848038942519,194.8,194.2,389.0,31.737000000000002,7.665,31.737000000000002,23.713000000000005,173.07,12.312,173.07,119.484,4000,4000,4000,4000,4000,4000,0.0,73.746,37.268,60.621,57.211666666666666,0.112,0.111,0.031,0.746
AJX75334503,70,10,130.85,130.85,303.5,4000,4000,4000,0.0,50,10.6,145.0,50,85.0,AbNormal,3,3HPXX066,1,11.0,9,720.3061848963953,"240,33","1020,33","1020,33",388.9,116.67000000049923,0.6000000000025675,680.7014396929097,197.16000000152104,0.5792848038942519,194.8,194.2,389.0,31.737000000000002,7.665,31.737000000000002,23.713000000000005,173.07,12.312,173.07,119.484,4000,4000,4000,4000,4000,4000,0.0,73.987,37.147,60.5,57.21133333333333,0.112,0.111,0.031,0.746
AJX75334503,70,10,130.85,130.85,303.5,4000,4000,4000,0.0,50,10.6,145.0,50,85.0,AbNormal,3,3HPXX066,1,14.0,11,720.3061848963953,"240,33","1020,33","1020,33",388.9,116.67000000049923,0.6000000000025675,680.7014396929097,197.16000000152104,0.5792848038942519,194.8,194.2,389.0,31.737000000000002,7.843999999999999,31.737000000000002,23.77266666666667,173.07,12.312,173.07,119.484,4000,4000,4000,4000,4000,4000,0.0,73.505,37.025999999999996,60.379,56.97,0.112,0.111,0.03,0.747
AJX75334503,70,10,130.85,130.85,303.5,4000,4000,4000,0.0,50,10.6,145.0,50,85.0,AbNormal,3,3HPXX066,1,10.0,8,720.3061848963953,"240,33","1020,33","1020,33",388.9,116.67000000049923,0.6000000000025675,680.7014396929097,197.16000000152104,0.5792848038942519,194.8,194.2,389.0,31.737000000000002,7.665,31.737000000000002,23.713000000000005,170.58200000000002,12.312,173.07,118.65466666666669,4000,4000,4000,4000,4000,4000,0.0,73.987,37.147,60.5,57.21133333333333,0.112,0.111,0.03,0.747
