model_suffix,CURE SPEED Collect Result_Dam,DISCHARGED SPEED OF RESIN Collect Result_Dam,Head Clean Position Z Collect Result_Dam,Head Purge Position Z Collect Result_Dam,Head Zero Position Y Collect Result_Dam,Stage1_Circle_Distance_Speed_Dam,Stage2_Circle_Distance_Speed_Dam,Stage3_Circle_Distance_Speed_Dam,WorkMode Collect Result,Chamber Temp. Collect Result_AutoClave,DISCHARGED SPEED OF RESIN Collect Result_Fill1,Head Purge Position Z Collect Result_Fill1,CURE SPEED Collect Result_Fill2,Head Purge Position Z Collect Result_Fill2,target,Receip_No,cleaned_workorder,Equipment_same_num,PalletID_Collect_Result,Production_Qty_Collect_Result,CURE_DISTANCE_Dam,cure_end_position_XZ_Fill2,cure_start_position_XZ_Fill2,cure_standby_position_XZ_Fill2,HEAD NORMAL DISTANCE_STAGE1_STAGE3_Dam,HEAD NORMAL DISTANCE_TRIANGLE_area_Dam,HEAD NORMAL DISTANCE_TRIANGLE_height_Dam,HEAD NORMAL DISTANCE_STAGE1_STAGE3_Fill1,HEAD NORMAL DISTANCE_TRIANGLE_area_Fill1,HEAD NORMAL DISTANCE_TRIANGLE_height_Fill1,HEAD NORMAL DISTANCE_STAGE1_STAGE2_Fill2,HEAD NORMAL DISTANCE_STAGE2_STAGE3_Fill2,HEAD NORMAL DISTANCE_STAGE1_STAGE3_Fill2,volume_time_multip_stage1_Dam,volume_time_multip_stage2_Dam,volume_time_multip_stage3_Dam,volume_time_multip_avg_Dam,volume_time_multip_stage1_Fill1,volume_time_multip_stage2_Fill1,volume_time_multip_stage3_Fill1,volume_time_multip_avg_Fill1,stage1_line13_distance_speed_Dam,stage1_line24_distance_speed_Dam,stage2_line13_distance_speed_Dam,stage2_line24_distance_speed_Dam,stage3_line13_distance_speed_Dam,stage3_line24_distance_speed_Dam,average_thickness_Dam,1st_pressure_time_AutoClave,2nd_pressure_time_AutoClave,3rd_pressure_time_AutoClave,avg_pressure_time_AutoClave,time_ratio_Dam,time_ratio_Fill1,time_ratio_Fill2,time_ratio_AutoClave
AJX75334506,70,10,130.85,130.85,300.0,4000,4000,4000,0.0,54,10.6,145.0,50,85.0,Normal,1,3JPXX060,1,15.0,23,720.3061848963953,"240,33","1020,33","1020,33",389.6,272.7200000000176,1.4000000000000903,680.7001175260659,264.5699999950904,0.7773467146050824,194.8,194.2,389.0,31.737000000000002,7.665,31.737000000000002,23.713000000000005,173.07,12.312,173.07,119.484,4000,4000,4000,4000,4000,4000,0.0,73.987,37.025999999999996,60.258,57.09033333333333,0.112,0.115,0.031,0.742
AJX75334506,70,10,130.85,130.85,300.0,4000,4000,4000,0.0,50,10.6,145.0,50,85.0,Normal,1,3JPXX060,1,9.0,174,720.3061848963953,"240,33","1020,33","1020,33",389.6,214.28000000011698,1.1000000000006005,680.7001175260659,264.5699999950904,0.7773467146050824,194.8,194.2,389.0,31.737000000000002,7.665,31.737000000000002,23.713000000000005,173.07,12.312,173.07,119.484,4000,4000,4000,4000,4000,4000,0.0,73.023,36.905,60.016,56.647999999999996,0.112,0.112,0.031,0.745
AJX75334506,70,10,130.85,130.85,300.0,4000,4000,4000,0.0,55,10.6,145.0,50,85.0,Normal,1,3JPXX060,1,2.0,6,790.607993888248,"240,33","1020,33","1020,33",389.49999999999994,97.37499999918606,0.4999999999958207,681.4000660405017,159.2250000081258,0.46734659400124456,377.5000132450329,302.0000165562909,679.5,31.737000000000002,7.843999999999999,31.737000000000002,23.77266666666667,175.712,12.312,173.07,120.36466666666666,4000,4000,4000,4000,4000,4000,0.0,72.782,36.542,60.379,56.56766666666667,0.11,0.111,0.031,0.748
AJX75334506,70,10,130.85,130.85,300.0,4000,4000,4000,0.0,50,10.6,145.0,50,85.0,Normal,1,3KPM0259,1,15.0,149,720.3061848963953,"240,33","1020,33","1020,33",389.6,214.28000000011698,1.1000000000006005,680.7001175260659,264.5699999950904,0.7773467146050824,194.8,194.2,389.0,31.737000000000002,7.843999999999999,31.737000000000002,23.77266666666667,173.07,12.312,173.07,119.484,4000,4000,4000,4000,4000,4000,0.0,75.433,28.17,60.258,54.62033333333334,0.118,0.118,0.032,0.732
AJX75334506,70,10,130.85,130.85,300.0,4000,4000,4000,0.0,49,10.6,145.0,50,85.0,Normal,1,3JPXX060,1,15.0,186,720.3061848963953,"240,33","1020,33","1020,33",389.6,214.28000000011698,1.1000000000006005,680.7001175260659,264.5699999950904,0.7773467146050824,194.8,194.2,389.0,31.737000000000002,7.665,31.737000000000002,23.713000000000005,175.712,12.312,173.07,120.36466666666666,4000,4000,4000,4000,4000,4000,0.0,72.059,36.3,60.621,56.32666666666666,0.112,0.112,0.03,0.745
AJX75334506,105,16,124.0,130.85,300.0,5800,5300,5800,0.0,51,10.6,128.0,48,114.612,Normal,6,4F1X6512,1,9.0,57,720.3061848963953,"1020,33","240,33","1020,33",389.6000513346989,21884.730000000007,112.34459505344984,682.0000293255125,200.7600000025136,0.5887389776245674,194.8,194.2,389.0,15.496,5.015,15.244000000000002,11.918333333333335,173.07,12.312,173.07,119.484,diff,5800,5300,5300,5800,5800,-0.05266666666666667,74.64,0.491,59.519999999999996,44.88366666666667,0.146,0.114,0.046,0.695
AJX75334506,70,10,130.85,130.85,300.0,4000,4000,4000,0.0,50,10.6,145.0,50,85.0,Normal,1,3KPM0259,1,2.0,156,790.607993888248,"240,33","1020,33","1020,33",389.49999999999994,97.37499999918606,0.4999999999958207,681.4000660405017,159.2250000081258,0.46734659400124456,377.5000132450329,302.0000165562909,679.5,31.737000000000002,7.665,31.737000000000002,23.713000000000005,173.07,12.312,173.07,119.484,4000,4000,4000,4000,4000,4000,0.0,75.433,28.17,60.258,54.62033333333334,0.117,0.113,0.033,0.737
AJX75334506,70,10,130.85,130.85,300.0,4000,4000,4000,0.0,54,10.6,145.0,50,85.0,Normal,1,3JPXX060,1,14.0,50,720.3061848963953,"240,33","1020,33","1020,33",389.6,272.7200000000176,1.4000000000000903,680.7001175260659,264.5699999950904,0.7773467146050824,194.8,194.2,389.0,31.737000000000002,7.665,31.737000000000002,23.713000000000005,173.07,12.312,173.07,119.484,4000,4000,4000,4000,4000,4000,0.0,76.156,38.357,60.258,58.257000000000005,0.112,0.115,0.031,0.742
AJX75334506,105,16,124.0,130.85,300.0,5800,5300,5800,0.0,49,10.6,128.0,48,114.612,Normal,1,4E1X7686,1,16.0,151,720.3061848963953,"240,33","1020,33","1020,33",388.9,21797.845000000023,112.10000000000012,682.0000293255125,200.7600000025136,0.5887389776245674,194.8,194.2,389.0,23.976000000000003,7.905,23.667,18.516000000000002,173.07,12.312,170.58200000000002,118.65466666666669,diff,5800,5300,5300,5800,5800,-0.05266666666666667,74.16,0.49,59.64,44.76333333333333,0.147,0.114,0.04,0.7
AJX75334506,70,10,130.85,130.85,300.0,4000,9000,4000,1.0,54,10.6,145.0,50,85.0,Normal,1,3KPM0018,1,2.0,310,790.607993888248,"240,33","1020,33","1020,33",389.49999999999994,0.0,0.0,681.4000660405017,56.98499999337364,0.16725856903567285,377.5000132450329,302.0000165562909,679.5,31.737000000000002,1.6660000000000001,31.737000000000002,21.713333333333335,173.07,12.312,173.07,119.484,4000,4000,9000,9000,4000,4000,0.0,72.059,36.179,60.379,56.205666666666666,0.104,0.091,0.032,0.774
