Set ID,target
OP753345013050000003,AbNormal
OP753345013050000004,AbNormal
OP753345013050000007,AbNormal
OP753345013050000011,AbNormal
OP753345013050000024,AbNormal
OP753345013050000013,AbNormal
OP753345013050000029,Normal
OP753345013050000030,Normal
OP753345013050000032,Normal
OP753345013050000034,Normal
OP753345013050000035,Normal
OP753345013050000037,Normal
OP753345013050000038,Normal
OP753345013050000039,Normal
OP753345013050000042,Normal
OP753345013050000043,Normal
OP753345013050000044,Normal
OP753345013050000045,AbNormal
OP753345013050000046,Normal
OP753345013050000010,Normal
OP753345013050000049,Normal
OP753345013050000050,Normal
OP753345013050000054,Normal
OP753345013050000055,Normal
OP753345013050000056,Normal
OP753345013050000058,Normal
OP753345013050000059,Normal
OP753345013050000060,Normal
OP753345013050000061,Normal
OP753345013050000064,Normal
OP753345013050000065,Normal
OP753345013050000066,Normal
OP753345013050000067,Normal
OP753345013050000068,Normal
OP753345013050000069,Normal
OP753345013050000071,Normal
OP753345013050000073,Normal
OP753345013050000075,Normal
OP753345013050000077,Normal
OP753345013050000078,Normal
OP753345013050000079,Normal
OP753345013050000080,Normal
OP753345013050000083,Normal
OP753345013050000084,Normal
OP753345013050000085,Normal
OP753345013050000087,Normal
OP753345013050000088,Normal
OP753345013050000089,Normal
OP753345013050000091,Normal
OP753345013050000092,Normal
OP753345013050000093,Normal
OP753345013050000094,Normal
OP753345013050000095,Normal
OP753345013050000098,Normal
OP753345013050000099,Normal
OP753345013050000102,Normal
OP753345013050000109,Normal
OP753345013050000110,Normal
OP753345013050000112,Normal
OP753345013050000113,Normal
OP753345013050000114,Normal
OP753345013050000115,Normal
OP753345013050000116,Normal
OP753345013050000118,Normal
OP753345013050000119,Normal
OP753345013050000121,Normal
OP753345013050000122,Normal
OP753345013050000125,Normal
OP753345013050000126,Normal
OP753345013050000128,Normal
OP753345013050000129,Normal
OP753345013050000130,Normal
OP753345013050000132,Normal
OP753345013050000134,Normal
OP753345013050000135,Normal
OP753345013050000137,Normal
OP753345013050000138,Normal
OP753345013050000139,Normal
OP753345013050000142,Normal
OP753345013050000143,Normal
OP753345013050000144,Normal
OP753345013050000145,Normal
OP753345013050000146,Normal
OP753345013050000150,Normal
OP753345013050000151,Normal
OP753345013050000153,Normal
OP753345013050000154,Normal
OP753345013050000155,AbNormal
OP753345013050000156,Normal
OP753345013050000158,Normal
OP753345013050000159,Normal
OP753345013050000160,AbNormal
OP753345013050000162,Normal
OP753345013050000163,Normal
OP753345013050000171,AbNormal
OP753345013050000173,Normal
OP753345013050000175,Normal
OP753345013050000179,AbNormal
OP753345013050000180,Normal
OP753345013050000182,Normal
OP753345013050000184,Normal
OP753345013050000185,Normal
OP753345013050000186,Normal
OP753345013050000187,Normal
OP753345013050000189,AbNormal
OP753345013050000190,Normal
OP753345013050000191,Normal
OP753345013050000192,Normal
OP753345013050000193,Normal
OP753345013050000194,Normal
OP753345013050000195,Normal
OP753345013050000203,Normal
OP753345013050000205,Normal
OP753345013050000207,Normal
OP753345013050000208,Normal
OP753345013050000210,Normal
OP753345013050000212,Normal
OP753345013050000213,Normal
OP753345013050000214,Normal
OP753345013050000215,Normal
OP753345013050000216,Normal
OP753345013050000217,Normal
OP753345013050000218,Normal
OP753345013050000219,Normal
OP753345013050000220,Normal
OP753345013050000221,Normal
OP753345013050000222,Normal
OP753345013050000224,Normal
OP753345013050000225,AbNormal
OP753345013050000229,Normal
OP753345013050000230,Normal
OP753345013050000231,Normal
OP753345013050000232,Normal
OP753345013050000233,Normal
OP753345013050000234,Normal
OP753345013050000235,Normal
OP753345013050000236,Normal
OP753345013050000239,Normal
OP753345013050000241,Normal
OP753345013050000243,Normal
OP753345013050000244,Normal
OP753345013050000245,Normal
OP753345013050000246,Normal
OP753345013050000247,Normal
OP753345013050000248,Normal
OP753345013050000250,Normal
OP753345013050000251,Normal
OP753345013050000252,Normal
OP753345013050000253,Normal
OP753345013050000254,Normal
OP753345013050000255,Normal
OP753345013050000256,Normal
OP753345013050000257,Normal
OP753345013050000259,Normal
OP753345013050000261,Normal
OP753345013050000262,Normal
OP753345013050000264,Normal
OP753345013050000265,Normal
OP753345013050000266,Normal
OP753345013050000267,Normal
OP753345013050000269,Normal
OP753345013050000270,Normal
OP753345013050000271,Normal
OP753345013050000273,Normal
OP753345013050000275,Normal
OP753345013050000276,Normal
OP753345013050000278,Normal
OP753345013050000279,Normal
OP753345013050000282,Normal
OP753345013050000283,Normal
OP753345013050000284,AbNormal
OP753345013050000285,Normal
OP753345013050000288,Normal
OP753345013050000289,Normal
OP753345013050000290,Normal
OP753345013050000291,Normal
OP753345013050000292,Normal
OP753345013050000293,Normal
OP753345013050000294,Normal
OP753345013050000295,Normal
OP753345013050000296,Normal
OP753345013050000298,Normal
OP753345013050000299,Normal
OP753345013050000302,Normal
OP753345013050000303,Normal
OP753345013050000307,Normal
OP753345013050000308,Normal
OP753345013050000309,Normal
OP753345013050000310,Normal
OP753345013050000311,Normal
OP753345013050000312,Normal
OP753345013050000313,Normal
OP753345013050000314,Normal
OP753345013050000315,Normal
OP753345013050000316,Normal
OP753345013050000317,Normal
OP753345013050000319,Normal
OP753345013050000321,Normal
OP753345013050000323,Normal
OP753345013050000324,Normal
OP753345013050000325,Normal
OP753345013050000327,Normal
OP753345013050000330,Normal
OP753345013050000331,Normal
OP753345013050000333,Normal
OP753345013050000335,Normal
OP753345013050000336,Normal
OP753345013050000338,Normal
OP753345013050000340,Normal
OP753345013050000342,Normal
OP753345013050000344,Normal
OP753345013050000345,AbNormal
OP753345013050000346,Normal
OP753345013050000347,Normal
OP753345013050000349,Normal
OP753345013050000351,Normal
OP753345013050000352,Normal
OP753345013050000353,Normal
OP753345013050000354,Normal
OP753345013050000355,Normal
OP753345013050000357,Normal
OP753345013050000358,Normal
OP753345013050000359,Normal
OP753345013050000360,Normal
OP753345013050000362,AbNormal
OP753345013050000365,Normal
OP753345013050000367,Normal
OP753345013050000369,Normal
OP753345013050000370,Normal
OP753345013050000373,Normal
OP753345013050000375,AbNormal
OP753345013050000376,Normal
OP753345013050000377,AbNormal
OP753345013050000378,Normal
OP753345013050000379,Normal
OP753345013050000381,Normal
OP753345013050000382,AbNormal
OP753345013050000383,Normal
OP753345013050000384,Normal
OP753345013050000385,Normal
OP753345013050000388,Normal
OP753345013050000389,Normal
OP753345013050000390,Normal
OP753345013050000391,Normal
OP753345013050000392,Normal
OP753345013050000393,Normal
OP753345013050000394,Normal
OP753345013050000397,Normal
OP753345013050000398,Normal
OP753345013050000399,Normal
OP753345013050000403,Normal
OP753345013050000404,Normal
OP753345013050000405,Normal
OP753345013050000441,Normal
OP753345013050000445,Normal
OP753345013050000442,Normal
OP753345013050000449,Normal
OP753345013050000450,Normal
OP753345013050000456,Normal
OP753345013050000457,Normal
OP753345013050000458,Normal
OP753345013050000438,AbNormal
OP753345013050000459,Normal
OP753345013050000462,Normal
OP753345013050000463,AbNormal
OP753345013050000464,Normal
OP753345013050000466,AbNormal
OP753345013050000467,Normal
OP753345013050000470,Normal
OP753345013050000471,Normal
OP753345013050000475,Normal
OP753345013050000478,Normal
OP753345013050000480,Normal
OP753345013050000481,Normal
OP753345013050000482,Normal
OP753345013050000484,Normal
OP753345013050000486,Normal
OP753345013050000487,Normal
OP753345013050000488,Normal
OP753345013050000489,Normal
OP753345013050000490,Normal
OP753345013050000491,Normal
OP753345013050000492,Normal
OP753345013050000494,Normal
OP753345013050000496,AbNormal
OP753345013050000497,Normal
OP753345013050000499,Normal
OP753345013050000500,Normal
OP753345013050000502,Normal
OP753345013050000503,Normal
OP753345013050000504,Normal
OP753345013050000507,Normal
OP753345013050000508,Normal
OP753345013050000509,Normal
OP753345013050000511,Normal
OP753345013050000513,Normal
OP753345013050000517,Normal
OP753345013050000518,Normal
OP753345013050000521,Normal
OP753345013050000522,Normal
OP753345013050000524,Normal
OP753345013050000525,Normal
OP753345013050000526,Normal
OP753345013050000527,Normal
OP753345013050000529,AbNormal
OP753345013050000530,Normal
OP753345013050000532,Normal
OP753345013050000533,Normal
OP753345013050000534,Normal
OP753345013050000535,Normal
OP753345013050000537,AbNormal
OP753345013050000538,Normal
OP753345013050000539,Normal
OP753345013050000540,Normal
OP753345013050000541,Normal
OP753345013050000542,Normal
OP753345013050000543,Normal
OP753345013050000544,Normal
OP753345013050000545,AbNormal
OP753345013050000547,Normal
OP753345013050000548,Normal
OP753345013050000549,AbNormal
OP753345013050000550,Normal
OP753345013050000552,Normal
OP753345013050000553,Normal
OP753345013050000554,AbNormal
OP753345013050000556,Normal
OP753345013050000557,Normal
OP753345013050000558,Normal
OP753345013050000559,Normal
OP753345013050000560,Normal
OP753345013050000561,Normal
OP753345013050000562,Normal
OP753345013050000563,Normal
OP753345013050000564,Normal
OP753345013050000565,Normal
OP753345013050000566,Normal
OP753345013050000567,Normal
OP753345013050000568,Normal
OP753345013050000571,Normal
OP753345013050000572,Normal
OP753345013050000573,Normal
OP753345013050000574,Normal
OP753345013050000575,Normal
OP753345013050000577,Normal
OP753345013050000578,Normal
OP753345013050000579,Normal
OP753345013050000580,Normal
OP753345013050000581,Normal
OP753345013050000582,Normal
OP753345013050000583,Normal
OP753345013050000584,Normal
OP753345013050000585,Normal
OP753345013050000586,Normal
OP753345013050000587,AbNormal
OP753345013050000589,Normal
OP753345013050000590,Normal
OP753345013050000591,AbNormal
OP753345013050000592,Normal
OP753345013050000593,Normal
OP753345013050000597,Normal
OP753345013050000598,Normal
OP753345013050000600,Normal
OP753345013050000601,AbNormal
OP753345013050000602,Normal
OP753345013050000603,Normal
OP753345013050000605,Normal
OP753345013050000606,Normal
OP753345013050000607,Normal
OP753345013050000608,Normal
OP753345013050000609,Normal
OP753345013050000610,Normal
OP753345013050000611,Normal
OP753345013050000612,Normal
OP753345013050000613,Normal
OP753345013050000614,Normal
OP753345013050000615,AbNormal
OP753345013050000616,Normal
OP753345013050000618,Normal
OP753345013050000619,Normal
OP753345013050000621,AbNormal
OP753345013050000622,Normal
OP753345013050000623,Normal
OP753345013050000624,Normal
OP753345013050000626,Normal
OP753345013050000627,Normal
OP753345013050000628,Normal
OP753345013050000630,Normal
OP753345013050000631,Normal
OP753345013050000632,Normal
OP753345013050000633,Normal
OP753345013050000634,AbNormal
OP753345013050000635,Normal
OP753345013050000653,AbNormal
OP753345013050000654,Normal
OP753345013050000655,Normal
OP753345013050000656,Normal
OP753345013050000657,Normal
OP753345013050000660,Normal
OP753345013050000661,Normal
OP753345013050000662,Normal
OP753345013050000663,Normal
OP753345013050000636,Normal
OP753345013050000637,Normal
OP753345013050000638,Normal
OP753345013050000649,Normal
OP753345013050000640,Normal
OP753345013050000641,Normal
OP753345013050000642,Normal
OP753345013050000643,Normal
OP753345013050000644,Normal
OP753345013050000645,Normal
OP753345013050000646,Normal
OP753345013050000647,Normal
OP753345013050000648,Normal
OP753345013050000650,AbNormal
OP753345013050000652,Normal
OP753345013050000651,Normal
OP753345013050000664,Normal
OP753345013050000665,Normal
OP753345013050000667,Normal
OP753345013050000668,Normal
OP753345013050000669,Normal
OP753345013050000448,Normal
OP753345013050000670,Normal
OP753345013050000671,Normal
OP753345013050000672,Normal
OP753345013050000674,Normal
OP753345013050000675,Normal
OP753345013050000676,Normal
OP753345013050000677,Normal
OP753345013050000678,Normal
OP753345013050000679,Normal
OP753345013050000680,Normal
OP753345013050000681,Normal
OP753345013050000682,Normal
OP753345013050000683,Normal
OP753345013050000685,Normal
OP753345013050000686,Normal
OP753345013050000688,Normal
OP753345013050000690,Normal
OP753345013050000691,Normal
OP753345013050000692,Normal
OP753345013050000695,Normal
OP753345013050000696,Normal
OP753345013050000697,Normal
OP753345013050000699,Normal
OP753345013050000700,Normal
OP753345013050000701,Normal
OP753345013050000704,Normal
OP753345013050000706,Normal
OP753345013050000707,Normal
OP753345013050000708,Normal
OP753345013050000710,Normal
OP753345013050000711,Normal
OP753345013050000712,Normal
OP753345013050000714,Normal
OP753345013050000715,Normal
OP753345013050000716,Normal
OP753345013050000718,Normal
OP753345013050000719,Normal
OP753345013050000720,Normal
OP753345013050000721,Normal
OP753345013050000722,Normal
OP753345013050000723,Normal
OP753345013050000724,Normal
OP753345013050000725,Normal
OP753345013050000726,Normal
OP753345013050000727,Normal
OP753345013050000729,Normal
OP753345013050000731,Normal
OP753345013050000732,Normal
OP753345013050000733,Normal
OP753345013050000734,Normal
OP753345013050000738,Normal
OP753345013050000740,Normal
OP753345013050000741,Normal
OP753345013050000743,Normal
OP753345013050000744,Normal
OP753345013050000746,Normal
OP753345013050000748,Normal
OP753345013050000749,Normal
OP753345013050000750,Normal
OP753345013050000751,Normal
OP753345013050000752,Normal
OP753345013050000753,Normal
OP753345013050000755,Normal
OP753345013050000756,Normal
OP753345013050000757,Normal
OP753345013050000758,Normal
OP753345013050000760,Normal
OP753345013050000762,Normal
OP753345013050000763,Normal
OP753345013050000764,Normal
OP753345013050000766,Normal
OP753345013050000768,Normal
OP753345013050000769,Normal
OP753345013050000770,Normal
OP753345013050000771,Normal
OP753345013050000773,AbNormal
OP753345013050000775,Normal
OP753345013050000776,Normal
OP753345013050000777,Normal
OP753345013050000779,Normal
OP753345013050000780,Normal
OP753345013050000782,Normal
OP753345013050000784,Normal
OP753345013050000786,Normal
OP753345013050000787,Normal
OP753345013050000788,Normal
OP753345013050000789,Normal
OP753345013050000790,Normal
OP753345013050000791,Normal
OP753345013050000792,Normal
OP753345013050000793,Normal
OP753345013050000794,Normal
OP753345013050000795,Normal
OP753345013050000799,Normal
OP753345013050000800,Normal
OP753345013050000801,Normal
OP753345013050000802,Normal
OP753345013050000803,Normal
OP753345013050000805,Normal
OP753345013050000806,Normal
OP753345013050000807,Normal
OP753345013050000808,Normal
OP753345013050000809,Normal
OP753345013050000810,Normal
OP753345013050000811,Normal
OP753345013050000812,Normal
