model_suffix,CURE SPEED Collect Result_Dam,DISCHARGED SPEED OF RESIN Collect Result_Dam,Head Clean Position Z Collect Result_Dam,Head Purge Position Z Collect Result_Dam,Head Zero Position Y Collect Result_Dam,Stage1_Circle_Distance_Speed_Dam,Stage2_Circle_Distance_Speed_Dam,Stage3_Circle_Distance_Speed_Dam,WorkMode Collect Result,Chamber Temp. Collect Result_AutoClave,DISCHARGED SPEED OF RESIN Collect Result_Fill1,Head Purge Position Z Collect Result_Fill1,CURE SPEED Collect Result_Fill2,Head Purge Position Z Collect Result_Fill2,target,Receip_No,cleaned_workorder,Equipment_same_num,PalletID_Collect_Result,Production_Qty_Collect_Result,CURE_DISTANCE_Dam,cure_end_position_XZ_Fill2,cure_start_position_XZ_Fill2,cure_standby_position_XZ_Fill2,HEAD NORMAL DISTANCE_STAGE1_STAGE3_Dam,HEAD NORMAL DISTANCE_TRIANGLE_area_Dam,HEAD NORMAL DISTANCE_TRIANGLE_height_Dam,HEAD NORMAL DISTANCE_STAGE1_STAGE3_Fill1,HEAD NORMAL DISTANCE_TRIANGLE_area_Fill1,HEAD NORMAL DISTANCE_TRIANGLE_height_Fill1,HEAD NORMAL DISTANCE_STAGE1_STAGE2_Fill2,HEAD NORMAL DISTANCE_STAGE2_STAGE3_Fill2,HEAD NORMAL DISTANCE_STAGE1_STAGE3_Fill2,volume_time_multip_stage1_Dam,volume_time_multip_stage2_Dam,volume_time_multip_stage3_Dam,volume_time_multip_avg_Dam,volume_time_multip_stage1_Fill1,volume_time_multip_stage2_Fill1,volume_time_multip_stage3_Fill1,volume_time_multip_avg_Fill1,stage1_line13_distance_speed_Dam,stage1_line24_distance_speed_Dam,stage2_line13_distance_speed_Dam,stage2_line24_distance_speed_Dam,stage3_line13_distance_speed_Dam,stage3_line24_distance_speed_Dam,average_thickness_Dam,1st_pressure_time_AutoClave,2nd_pressure_time_AutoClave,3rd_pressure_time_AutoClave,avg_pressure_time_AutoClave,time_ratio_Dam,time_ratio_Fill1,time_ratio_Fill2,time_ratio_AutoClave
AJX75334502,70,16,124.0,130.85,300.0,6000,5500,6000,0.0,54,10.6,128.0,50,85.0,AbNormal,6,4B1XA868,1,3.0,77,790.607993888248,"240,33","1020,33","1020,33",389.10020560261853,114.61499999870317,0.589128447368427,681.4000660405017,159.20999998735306,0.4673025669413123,377.5000132450329,302.0000165562909,679.5,14.058,4.5360000000000005,14.3,10.964666666666668,158.025,12.312,158.025,109.45400000000001,6000,6000,5500,5500,6000,6000,-0.08866666666666667,72.782,0.581,72.358,48.57366666666667,0.116,0.105,0.04,0.739
AJX75334502,70,16,130.85,130.85,300.0,6500,6500,6500,0.0,53,10.6,128.0,50,85.0,AbNormal,6,4A1XC288,1,2.0,331,790.607993888248,"240,33","1020,33","1020,33",389.09999999999997,97.27499999905812,0.49999999999515876,681.4000660405017,159.20999998735306,0.4673025669413123,377.5000132450329,302.0000165562909,679.5,11.921,3.9000000000000004,12.144,9.321666666666667,158.025,15.2,158.025,110.41666666666667,6500,6500,5500,6500,6500,6500,0.0,74.951,0.49,60.379,45.27333333333333,0.111,0.106,0.04,0.743
AJX75334502,70,16,124.0,130.85,300.0,6000,5500,6000,0.0,47,10.6,128.0,50,85.0,AbNormal,6,4B1XA868,1,6.0,35,790.607993888248,"240,33","1020,33","1020,33",389.10020560261853,114.61499999870317,0.589128447368427,681.4000660405017,159.20999998735306,0.4673025669413123,377.5000132450329,302.0000165562909,679.5,14.058,4.6739999999999995,14.058,10.93,155.64800000000002,12.312,155.64800000000002,107.86933333333336,6000,6000,5500,5500,6000,6000,-0.08866666666666667,72.541,0.582,72.479,48.53399999999999,0.115,0.113,0.04,0.732
AJX75334502,70,16,124.0,130.85,300.0,6000,5500,6000,0.0,54,10.6,128.0,50,85.0,AbNormal,6,4B1XA868,1,7.0,0,790.607993888248,"240,33","1020,33","1020,33",389.10020560261853,114.61499999870317,0.589128447368427,681.4000660405017,159.20999998735306,0.4673025669413123,377.5000132450329,302.0000165562909,679.5,14.058,4.5360000000000005,14.3,10.964666666666668,155.64800000000002,12.312,155.64800000000002,107.86933333333336,6000,6000,5500,5500,6000,6000,-0.08866666666666667,74.469,0.582,73.931,49.66066666666666,0.123,0.112,0.04,0.725
AJX75334502,70,10,133.5,133.5,300.0,9000,9000,9000,1.0,49,10.6,85.0,50,85.0,AbNormal,1,3H1XE359,1,3.0,35,790.607993888248,"240,33","1020,33","1020,33",389.5,97.37499999969164,0.49999999999841666,681.4000660405017,147.43499998978785,0.4327413727636019,377.5000132450329,302.0000165562909,679.5,6.499,1.6660000000000001,6.499,4.887999999999999,167.979,12.312,167.979,116.09000000000002,9000,9000,9000,9000,9000,9000,0.0,74.16,60.12,60.24,64.84,0.13,0.133,0.029,0.708
AJX75334502,70,16,130.85,130.85,300.0,6500,6500,6500,0.0,55,10.6,128.0,50,85.0,AbNormal,6,4A1XB338,1,13.0,16,720.3061848963953,"240,33","1020,33","1020,33",389.3,21820.26500000003,112.10000000000014,681.1001174570446,264.63000001422824,0.7770663760924043,194.8,194.2,389.0,12.144,3.0820000000000003,12.144,9.123333333333333,158.025,12.312,158.025,109.45400000000001,6500,6500,6500,6500,6500,6500,0.0,75.674,0.49,60.621,45.595,0.11,0.101,0.042,0.747
AJX75334502,70,10,130.85,130.85,300.0,4000,5000,4000,1.0,53,10.6,145.0,50,85.0,AbNormal,1,3K1X9801,1,15.0,254,720.3061848963953,"240,33","1020,33","1020,33",389.6,214.28000000011698,1.1000000000006005,680.7001175260659,162.4650000006089,0.4773467664177028,194.8,194.2,389.0,31.737000000000002,4.872,31.737000000000002,22.782,175.712,12.312,173.07,120.36466666666666,4000,4000,5000,5000,4000,4000,0.0,72.059,36.179,60.621,56.28633333333334,0.109,0.116,0.03,0.745
AJX75334502,70,10,130.85,130.85,300.0,4000,5000,4000,0.0,54,10.6,145.0,50,85.0,AbNormal,1,3K1X9887,1,16.0,65,720.3061848963953,"240,33","1020,33","1020,33",389.6,214.28000000011698,1.1000000000006005,680.7001175260659,162.4650000006089,0.4773467664177028,194.8,194.2,389.0,31.737000000000002,4.872,31.737000000000002,22.782,173.07,12.312,173.07,119.484,4000,4000,5000,5000,4000,4000,0.0,74.469,37.389,60.5,57.452666666666666,0.109,0.116,0.031,0.745
AJX75334502,70,16,130.85,130.85,300.0,6500,6500,6500,0.0,53,10.6,128.0,50,85.0,AbNormal,1,4A1XA434,1,1.0,48,790.607993888248,"240,33","1020,33","1020,33",389.09999999999997,97.27499999905812,0.49999999999515876,681.4000660405017,159.20999998735306,0.4673025669413123,377.5000132450329,302.0000165562909,679.5,12.144,4.028,12.144,9.438666666666668,158.025,12.987,158.025,109.67900000000002,6500,6500,5500,6500,6500,6500,0.0,74.951,0.492,60.258,45.233666666666664,0.111,0.11,0.04,0.739
AJX75334502,70,16,130.85,130.85,300.0,6500,6000,6500,0.0,52,10.6,128.0,50,85.0,AbNormal,6,4A1XB338,1,1.0,40,790.607993888248,"240,33","1020,33","1020,33",389.09999999999997,97.27499999905812,0.49999999999515876,681.4000660405017,159.20999998735306,0.4673025669413123,377.5000132450329,302.0000165562909,679.5,12.144,4.345000000000001,12.144,9.544333333333334,158.025,15.2,158.025,110.41666666666667,6500,6500,diff,6000,6500,6500,0.0,75.433,0.492,60.258,45.39433333333334,0.112,0.106,0.04,0.742
