iter	Passed	Remaining
0	166	346917
1	185	192758
2	203	140938
3	222	115772
4	244	101515
5	267	92659
6	290	86100
7	313	81337
8	336	77505
9	361	74854
10	385	72669
11	415	71786
12	441	70343
13	468	69248
14	490	67671
15	511	66143
16	535	65087
17	559	64223
18	586	63705
19	611	63054
20	638	62724
21	663	62144
22	684	61279
23	707	60699
24	737	60715
25	769	60865
26	800	60961
27	832	61084
28	863	61179
29	894	61241
30	928	61435
31	963	61762
32	994	61799
33	1030	62109
34	1057	61906
35	1086	61756
36	1112	61495
37	1140	61388
38	1167	61167
39	1199	61262
40	1226	61098
41	1255	61003
42	1279	60693
43	1308	60632
44	1337	60566
45	1369	60649
46	1399	60623
47	1439	61048
48	1472	61115
49	1503	61146
50	1538	61300
51	1570	61326
52	1598	61221
53	1624	61021
54	1653	60962
55	1685	61007
56	1719	61119
57	1753	61220
58	1785	61237
59	1812	61107
60	1839	60990
61	1869	60926
62	1901	60968
63	1926	60766
64	1955	60722
65	1989	60787
66	2019	60764
67	2050	60750
68	2080	60735
69	2108	60648
70	2137	60574
71	2166	60513
72	2196	60487
73	2221	60322
74	2251	60290
75	2281	60244
76	2314	60298
77	2345	60283
78	2375	60262
79	2405	60237
80	2433	60142
81	2463	60115
82	2491	60024
83	2519	59954
84	2543	59795
85	2573	59747
86	2605	59768
87	2634	59734
88	2663	59665
89	2691	59593
90	2716	59461
91	2744	59399
92	2773	59338
93	2804	59342
94	2830	59241
95	2863	59264
96	2894	59256
97	2924	59243
98	2953	59192
99	2982	59145
100	3008	59040
101	3040	59046
102	3070	59029
103	3103	59058
104	3138	59119
105	3169	59112
106	3207	59239
107	3236	59190
108	3269	59213
109	3301	59214
110	3334	59237
111	3364	59206
112	3390	59116
113	3418	59052
114	3450	59041
115	3479	58994
116	3511	59012
117	3537	58913
118	3568	58889
119	3594	58802
120	3618	58678
121	3650	58672
122	3681	58657
123	3707	58571
124	3732	58471
125	3758	58380
126	3783	58271
127	3816	58297
128	3847	58277
129	3876	58244
130	3905	58199
131	3928	58069
132	3956	58003
133	3981	57909
134	4008	57837
135	4036	57793
136	4068	57793
137	4098	57769
138	4129	57746
139	4157	57699
140	4184	57627
141	4215	57619
142	4241	57548
143	4273	57540
144	4306	57557
145	4336	57535
146	4367	57516
147	4394	57450
148	4425	57441
149	4454	57406
150	4483	57368
151	4514	57348
152	4542	57304
153	4572	57278
154	4595	57165
155	4623	57112
156	4652	57071
157	4680	57019
158	4708	56980
159	4736	56922
160	4762	56848
161	4790	56811
162	4819	56766
163	4849	56749
164	4878	56707
165	4907	56673
166	4937	56644
167	4962	56568
168	4993	56552
169	5021	56502
170	5044	56408
171	5073	56371
172	5104	56353
173	5137	56369
174	5171	56387
175	5203	56385
176	5229	56312
177	5255	56245
178	5284	56212
179	5312	56164
180	5338	56100
181	5369	56083
182	5395	56020
183	5423	55971
184	5451	55933
185	5480	55899
186	5503	55799
187	5532	55765
188	5562	55740
189	5588	55683
190	5615	55623
191	5643	55586
192	5674	55573
193	5697	55476
194	5722	55408
195	5750	55364
196	5777	55308
197	5809	55304
198	5841	55304
199	5869	55263
200	5901	55257
201	5926	55191
202	5957	55177
203	5985	55129
204	6017	55129
205	6049	55121
206	6078	55084
207	6111	55088
208	6136	55018
209	6167	55008
210	6197	54985
211	6225	54945
212	6260	54962
213	6294	54975
214	6326	54967
215	6356	54938
216	6380	54870
217	6411	54849
218	6439	54810
219	6468	54779
220	6497	54741
221	6525	54700
222	6555	54677
223	6584	54643
224	6611	54595
225	6641	54575
226	6674	54574
227	6706	54560
228	6734	54525
229	6762	54479
230	6795	54481
231	6820	54419
232	6851	54402
233	6876	54337
234	6908	54327
235	6936	54285
236	6964	54244
237	6990	54194
238	7020	54169
239	7051	54146
240	7081	54124
241	7112	54110
242	7141	54074
243	7167	54018
244	7196	53988
245	7225	53957
246	7257	53943
247	7282	53882
248	7311	53851
249	7337	53798
250	7365	53757
251	7393	53721
252	7423	53692
253	7455	53687
254	7487	53675
255	7517	53653
256	7547	53623
257	7572	53565
258	7601	53536
259	7634	53528
260	7661	53485
261	7687	53428
262	7722	53440
263	7752	53417
264	7776	53349
265	7811	53356
266	7839	53318
267	7869	53292
268	7914	53368
269	7951	53393
270	7983	53380
271	8016	53373
272	8045	53344
273	8076	53322
274	8107	53300
275	8136	53272
276	8165	53239
277	8193	53198
278	8220	53154
279	8252	53142
280	8282	53115
281	8310	53074
282	8338	53033
283	8362	52972
284	8389	52925
285	8417	52888
286	8445	52848
287	8477	52836
288	8503	52788
289	8530	52741
290	8560	52715
291	8588	52675
292	8613	52619
293	8643	52593
294	8673	52570
295	8706	52562
296	8740	52559
297	8769	52525
298	8796	52484
299	8826	52456
300	8851	52400
301	8881	52379
302	8910	52342
303	8942	52331
304	8973	52308
305	8999	52260
306	9024	52204
307	9052	52166
308	9084	52152
309	9113	52121
310	9141	52086
311	9178	52097
312	9209	52080
313	9241	52064
314	9280	52089
315	9315	52088
316	9353	52105
317	9390	52119
318	9428	52138
319	9470	52177
320	9502	52158
321	9540	52174
322	9574	52172
323	9600	52120
324	9633	52108
325	9663	52084
326	9695	52063
327	9722	52021
328	9753	52000
329	9781	51960
330	9809	51921
331	9838	51891
332	9875	51896
333	9903	51862
334	9930	51816
335	9962	51801
336	9986	51738
337	10015	51707
338	10044	51674
339	10071	51630
340	10100	51599
341	10133	51587
342	10164	51564
343	10200	51568
344	10232	51547
345	10263	51527
346	10293	51498
347	10323	51467
348	10351	51432
349	10383	51411
350	10418	51409
351	10446	51372
352	10475	51337
353	10500	51284
354	10529	51254
355	10560	51228
356	10588	51190
357	10616	51155
358	10645	51124
359	10679	51111
360	10711	51095
361	10741	51065
362	10775	51057
363	10811	51056
364	10841	51028
365	10866	50979
366	10895	50945
367	10923	50905
368	10949	50860
369	10978	50827
370	11009	50804
371	11039	50776
372	11069	50747
373	11097	50708
374	11129	50689
375	11162	50677
376	11195	50660
377	11230	50656
378	11262	50637
379	11298	50634
380	11331	50618
381	11371	50636
382	11409	50641
383	11442	50627
384	11479	50629
385	11510	50605
386	11540	50573
387	11571	50549
388	11601	50521
389	11632	50496
390	11665	50481
391	11701	50477
392	11733	50458
393	11763	50426
394	11794	50404
395	11825	50378
396	11854	50343
397	11880	50299
398	11911	50273
399	11941	50244
400	11972	50218
401	12001	50185
402	12030	50153
403	12053	50094
404	12081	50057
405	12113	50036
406	12145	50015
407	12177	49993
408	12210	49977
409	12244	49964
410	12281	49960
411	12316	49952
412	12351	49944
413	12388	49941
414	12420	49920
415	12452	49901
416	12480	49860
417	12512	49842
418	12541	49806
419	12574	49788
420	12615	49803
421	12662	49839
422	12701	49843
423	12744	49864
424	12783	49869
425	12827	49895
426	12867	49904
427	12903	49893
428	12942	49899
